code,name,close,chg,amount_eok,cap_eok,mom_12_1,m1,m3,from_hi52,new_high,box_width,box_drift,over_box,trend,breakout
138930,BNK금융지주,15200.0,-1.33,138.8,47836.3,3.0,1.6,-11.2,-32.9,,26.9,-18.7,-19.1,,
001040,CJ,129900.0,-1.28,144.8,38221.9,-32.1,4.4,-21.1,-44.0,,80.8,-44.7,-42.1,,
005830,DB손해보험,181100.0,-2.65,368.8,122682.2,9.6,17.1,28.3,-11.9,,31.6,-2.3,4.7,,
000990,DB하이텍,95000.0,2.58,953.5,44983.7,31.4,26.8,-51.1,-56.9,,209.7,-56.0,-56.9,,
375500,DL이앤씨,72000.0,0.77,591.6,30413.2,26.6,37.4,-5.9,-29.8,,91.4,-40.7,-28.2,,
078930,GS,127100.0,-0.88,439.4,115654.9,81.6,51.1,71.5,-1.6,,52.5,6.9,33.4,,
006360,GS건설,36300.0,0.14,815.8,30167.5,20.2,63.5,26.0,-15.8,,77.3,-38.1,-7.8,,
267270,HD건설기계,133300.0,-1.0,404.7,66419.7,27.1,12.7,-14.1,-32.7,,74.8,-40.2,-30.8,,
009540,HD한국조선해양,348500.0,-1.42,516.2,245228.8,-16.2,4.0,-16.0,-27.3,,45.0,-21.5,-26.5,,
267250,HD현대,219000.0,1.23,341.7,194718.0,22.1,16.7,-20.5,-29.5,,61.2,-35.9,-27.6,,
443060,HD현대마린솔루션,207500.0,0.24,108.4,95271.1,-11.6,14.5,-8.2,-26.0,,49.1,-32.9,-23.0,,
322000,HD현대에너지솔루션,142300.0,-2.55,250.1,15008.0,113.3,43.0,-20.7,-41.7,,145.2,-54.3,-41.7,,
267260,HD현대일렉트릭,781000.0,-4.59,681.3,262423.1,1.4,33.3,-25.4,-45.0,,143.6,-55.1,-45.0,,
329180,HD현대중공업,449500.0,-1.0,1038.5,466552.6,-11.7,3.6,-36.2,-39.7,,71.7,-34.1,-39.7,,
204320,HL만도,51800.0,-3.19,173.7,22821.2,15.7,32.5,-16.0,-32.6,,96.7,-31.5,-32.6,,
011200,HMM,21450.0,-1.4,174.7,199494.8,-1.7,5.9,9.4,-12.4,,21.0,-2.4,-3.2,,
175330,JB금융지주,28350.0,-0.32,136.7,58381.3,14.6,8.0,17.6,-24.4,,25.8,-1.6,-1.4,,
105560,KB금융,173300.0,-1.25,1048.8,616092.6,38.4,8.2,15.8,-6.9,,24.7,6.1,-6.9,Y,
002380,KCC,474000.0,0.3,144.7,42964.5,-1.8,34.5,-13.8,-30.3,,76.7,-38.1,-23.9,,
030200,KT,53400.0,-1.09,143.5,136847.8,6.5,-0.7,2.9,-22.5,,19.4,-12.9,-13.3,,
033780,KT&G,178100.0,-0.29,402.4,176270.2,34.1,-2.5,-3.0,-5.8,,13.1,3.5,-5.8,,
003550,LG,119400.0,-4.5,407.4,179767.3,27.2,29.5,3.1,-28.0,,79.8,-5.8,-28.0,,
034220,LG디스플레이,9440.0,-2.93,321.5,44700.0,-41.4,10.2,-34.5,-43.4,,95.4,-30.6,-43.4,,
051900,LG생활건강,313000.0,-1.02,147.2,43429.0,-7.9,19.0,26.2,-6.1,,35.8,4.5,7.2,,
064400,LG씨엔에스,77200.0,-3.8,356.0,71114.3,-10.4,30.2,-11.9,-46.3,,146.9,-11.7,-46.3,,
373220,LG에너지솔루션,378000.0,-3.86,1383.9,815490.0,-14.5,25.8,-14.5,-26.5,,60.7,-32.2,-21.7,,
032640,LG유플러스,14990.0,-1.39,110.8,63154.8,-6.3,4.0,-0.5,-15.8,,18.6,-3.9,-9.7,,
011070,LG이노텍,642000.0,-7.0,1422.3,128985.7,140.3,40.2,-43.4,-58.0,,260.8,-28.7,-58.0,,
066570,LG전자,216500.0,-4.21,1252.0,333913.5,96.2,43.9,-4.0,-44.8,,174.1,3.4,-44.8,,
051910,LG화학,280000.0,-3.4,397.2,190599.3,-17.0,20.4,-18.7,-34.8,,84.7,-42.8,-34.8,,
079550,LIG디펜스앤에어로스페이스,694000.0,1.06,537.9,146520.0,22.3,11.9,-18.9,-32.0,,61.6,-34.8,-30.7,,
006260,LS,311500.0,-4.42,367.8,94380.0,50.0,27.9,-34.5,-43.7,,147.4,-56.1,-43.7,,
010120,LS ELECTRIC,207500.0,-3.14,780.0,300750.0,-42.8,26.7,-15.8,-76.6,,111.9,-48.9,-34.9,,
035420,NAVER,217000.0,-1.61,1245.8,326204.1,-26.6,7.7,5.9,-24.4,,53.1,-6.8,-22.6,,
036570,NC,224500.0,-5.16,277.8,45565.6,0.5,0.9,-21.1,-33.6,,60.6,-14.4,-33.6,,
181710,NHN,74300.0,-15.4,458.7,19619.1,17.9,121.5,78.8,-1.2,,84.5,-16.7,24.7,,
010060,OCI홀딩스,277500.0,-2.93,794.9,40234.3,91.1,63.1,-23.8,-28.5,,128.1,-50.7,-28.5,,
005490,POSCO홀딩스,338500.0,-2.09,651.2,260308.4,3.6,17.3,-19.4,-36.7,,85.4,-40.1,-36.7,,
010950,S-Oil,150100.0,1.14,437.4,179457.0,95.1,18.8,40.3,-2.3,,62.2,1.6,-0.7,Y,
034730,SK,545000.0,-1.31,719.9,437191.3,134.5,11.5,-17.9,-36.5,,83.1,-1.5,-36.5,,
011790,SKC,90300.0,-1.48,329.5,43001.7,-34.4,38.7,-34.2,-48.1,,171.2,-48.2,-48.1,,
402340,SK스퀘어,1037000.0,0.53,6632.2,1492060.4,331.3,22.0,-16.2,-47.4,,146.6,-19.4,-47.4,,
100090,SK오션플랜트,13800.0,-2.27,111.4,8053.4,-51.4,17.9,-20.0,-54.5,,100.9,-50.0,-41.3,,
096770,SK이노베이션,125500.0,0.07,1158.0,233292.8,7.8,14.6,7.3,-16.2,,63.9,-20.0,-14.5,,
475150,SK이터닉스,55000.0,-2.11,467.4,17374.2,96.6,26.6,36.5,-32.0,,151.6,-24.3,-32.0,,
001510,SK증권,2555.0,0.0,101.0,5689.9,169.6,40.4,-25.9,-54.7,,219.5,-66.0,-54.7,,
017670,SK텔레콤,94200.0,-1.49,739.7,198466.0,44.2,19.8,-2.8,-24.8,,60.1,-19.7,-24.8,,
000660,SK하이닉스,1674000.0,0.56,76691.3,13097728.1,301.4,19.5,-26.9,-42.7,,120.8,-8.6,-42.7,,
100840,SNT에너지,30550.0,-2.66,196.8,7569.2,-59.1,40.1,-22.9,-52.3,,194.0,-62.0,-52.3,,
000500,가온전선,210000.0,-2.99,458.3,67744.1,111.8,71.6,-38.4,-62.8,,424.2,-50.4,-62.8,,
010130,고려아연,1277000.0,-0.9,148.2,253189.1,0.7,38.4,-6.4,-39.6,,89.3,-43.2,-26.9,,
017900,광전자,7500.0,15.37,1205.1,4739.8,136.1,66.7,-33.0,-57.8,,213.9,-58.1,-45.3,,
002990,금호건설,16460.0,-2.86,937.6,5831.2,99.5,125.5,305.9,-4.9,,378.2,71.6,-4.9,,
001210,금호전기,12480.0,-2.92,629.9,1523.5,19.8,1129.6,1401.8,0.0,Y,188.8,-5.9,798.5,,
073240,금호타이어,7360.0,-1.5,124.7,20797.6,17.6,31.4,54.9,-9.6,,81.2,7.2,-5.6,,
000270,기아,131000.0,-2.34,681.1,489577.9,19.6,8.8,-20.3,-36.4,,49.1,-21.6,-27.0,,
024110,기업은행,20700.0,-0.48,107.4,165864.6,3.6,2.5,1.2,-27.5,,17.5,-7.5,-10.4,,
483650,달바글로벌,220000.0,-2.09,292.2,22897.4,61.6,-17.0,8.9,-17.0,,44.0,4.5,-17.0,Y,
353200,대덕전자,112700.0,-3.57,924.7,49367.5,195.3,39.3,-31.6,-41.0,,156.2,-34.9,-41.0,,
047040,대우건설,18190.0,8.47,5477.4,82058.3,233.9,51.3,-28.5,-51.0,,196.4,-65.2,-45.2,,
006340,대원전선,13620.0,-1.81,257.3,10233.1,279.7,23.3,10.2,-24.5,,99.6,-40.5,-24.5,Y,
001440,대한전선,29400.0,0.35,487.5,56347.9,47.2,32.4,-38.5,-59.3,,247.6,-65.7,-59.3,,
003490,대한항공,28100.0,-0.82,757.5,110834.4,6.9,13.3,4.1,-6.3,,26.1,0.6,-6.3,,
000150,두산,1263000.0,-1.89,949.5,201937.1,87.8,26.4,-23.9,-42.7,,144.8,-47.2,-42.7,,
454910,두산로보틱스,71000.0,-1.56,235.3,44920.2,-13.8,23.5,-29.3,-57.4,,200.9,-48.6,-57.4,,
034020,두산에너빌리티,82500.0,1.82,5271.7,573302.2,-3.3,35.7,-22.1,-39.5,,126.6,-52.7,-39.5,,
336260,두산퓨얼셀,45150.0,-1.3,532.7,32255.7,-31.0,124.6,-54.2,-55.5,,437.0,-68.8,-55.5,,
003160,디아이,24200.0,-3.21,118.5,8546.6,7.1,46.7,-15.4,-37.5,,115.2,-51.3,-31.7,,
023530,롯데쇼핑,106400.0,4.9,331.3,33324.2,66.0,-9.2,-29.7,-47.7,,80.7,-18.7,-47.7,,
006800,미래에셋증권,34700.0,1.01,441.9,190328.9,39.5,13.0,-44.0,-58.6,,177.5,-57.0,-58.6,,
090460,비에이치,18230.0,-8.08,318.5,6631.1,-24.3,37.9,-43.3,-54.7,,206.9,-59.0,-54.7,,
062040,산일전기,196100.0,1.06,751.1,61592.1,16.3,53.4,-22.5,-41.2,,176.1,-63.8,-41.2,,
028050,삼성E&A,47100.0,2.4,1568.1,96334.0,46.4,18.5,-7.3,-26.9,,64.3,-25.5,-26.9,,
006400,삼성SDI,577000.0,-2.03,1831.5,427103.3,76.7,58.5,-14.6,-19.0,,96.7,-49.1,-18.2,,
028260,삼성물산,376500.0,-0.52,1570.4,619480.2,51.9,31.9,-5.8,-29.6,,87.4,-8.1,-29.6,,
207940,삼성바이오로직스,1518000.0,-1.77,441.5,666589.7,45.4,2.6,10.6,-22.7,,24.6,2.8,-2.0,,
032830,삼성생명,306000.0,-1.28,827.2,616000.0,71.0,15.3,-14.4,-38.4,,88.3,-0.4,-38.4,,
018260,삼성에스디에스,240000.0,-5.15,361.7,177968.9,18.4,21.6,-3.4,-33.7,,119.7,19.1,-33.7,,
0126Z0,삼성에피스홀딩스,387000.0,-2.5,121.9,87339.5,,9.8,-17.7,-47.9,,51.9,-34.0,-27.0,,
009150,삼성전기,1458000.0,-5.78,9602.0,1023303.6,420.7,41.7,-21.1,-35.8,,158.2,-4.2,-35.8,,
009155,삼성전기우,522000.0,-3.87,117.3,14447.7,320.2,42.6,-11.4,-45.3,,198.1,-14.9,-45.3,,
005930,삼성전자,260000.0,-0.19,62367.4,15755720.8,147.6,24.7,-13.2,-28.3,,75.1,-11.0,-28.3,,
005935,삼성전자우,186500.0,-0.6,7196.3,1591904.5,130.7,21.6,-2.3,-20.6,,55.6,-11.0,-20.6,,
010140,삼성중공업,20900.0,-0.47,581.1,187440.0,-9.1,7.7,-26.4,-39.2,,75.0,-36.3,-38.4,,
016360,삼성증권,88000.0,-0.46,217.4,77958.9,21.7,0.1,-27.2,-41.1,,70.1,-34.5,-41.1,,
000810,삼성화재,665000.0,-1.37,640.8,288869.2,27.3,13.3,18.8,-8.9,,54.2,30.5,-8.9,Y,
006110,삼아알미늄,71500.0,-0.3,119.2,10087.3,29.5,164.8,-17.7,-25.8,,257.0,-58.2,-25.8,,
003230,삼양식품,1531000.0,-2.93,1239.9,97251.2,-18.6,25.5,26.4,-6.1,,37.1,-5.5,6.0,,
001820,삼화콘덴서,112700.0,-4.28,571.4,11611.2,95.3,79.2,-27.8,-40.7,,228.9,-15.5,-40.7,,
004490,세방전지,68200.0,-2.18,215.7,8717.9,-26.6,43.0,21.6,-4.7,,40.7,-27.3,1.6,,
