code,name,close,chg,amount_eok,cap_eok,mom_12_1,m1,m3,from_hi52,new_high,box_width,box_drift,over_box,trend,breakout
012450,한화에어로스페이스,1102000.0,-3.99,1211.8,545540.8,-23.5,36.0,-8.2,-28.3,,80.9,-41.0,-24.8,,
082740,한화엔진,47450.0,0.84,494.2,39929.5,-8.0,22.6,-29.2,-47.0,,131.3,-56.1,-47.0,,
042660,한화오션,88000.0,-0.11,453.6,269337.4,-30.3,18.0,-29.1,-41.3,,80.8,-40.4,-34.8,,
000720,현대건설,123300.0,-2.11,568.7,134406.4,54.4,45.7,-12.8,-34.7,,107.2,-48.7,-27.2,,
086280,현대글로비스,207500.0,0.96,489.6,157125.0,12.0,10.2,-10.9,-28.6,,57.4,-15.0,-26.9,,
064350,현대로템,136200.0,-4.33,630.3,142212.4,-44.3,13.4,-33.9,-49.4,,124.0,-55.2,-49.4,,
012330,현대모비스,453500.0,-2.21,1275.5,398354.3,50.3,1.9,-33.9,-41.0,,78.0,3.1,-41.0,,
069960,현대백화점,95400.0,2.52,196.1,21090.5,33.3,-19.8,-12.6,-53.9,,99.4,1.4,-53.9,,
004310,현대약품,6380.0,29.94,1498.5,2652.8,26.5,29.9,-8.1,-55.5,,89.6,-41.0,-25.7,,
307950,현대오토에버,421500.0,-3.68,285.6,111341.4,121.3,24.7,-43.5,-55.1,,197.3,-29.3,-55.1,,
004020,현대제철,30400.0,1.32,127.0,41101.3,-29.7,24.1,-23.0,-34.6,,88.4,-41.6,-34.1,,
005380,현대차,403500.0,-0.74,1533.2,820054.9,64.4,14.1,-40.4,-46.2,,113.7,-34.9,-46.2,,
005387,현대차2우B,190600.0,0.1,112.4,66711.2,7.1,6.4,-27.7,-41.1,,65.0,-27.9,-35.5,,
001450,현대해상,50900.0,4.91,286.7,45522.6,26.4,37.9,46.7,-2.9,,37.0,24.0,23.4,,
008770,호텔신라,44100.0,1.59,123.1,17583.2,-19.0,1.1,-20.3,-36.5,,54.0,-33.9,-33.2,,
298040,효성중공업,2963000.0,-1.59,825.4,271903.8,50.0,47.7,-18.9,-35.6,,142.9,-55.2,-35.6,,
093370,후성,13130.0,-3.27,264.0,13621.4,22.1,83.1,10.4,-41.4,,223.2,-51.0,-41.4,,
028300,HLB,35600.0,-4.35,702.9,45354.0,-19.5,13.9,-29.5,-47.8,,140.5,-50.8,-42.3,,
403870,HPSP,50200.0,1.59,873.5,41973.0,-13.0,69.3,-1.4,-39.9,,192.5,-47.5,-39.9,,
095340,ISC,169500.0,-7.32,235.1,33300.6,40.4,52.8,-20.4,-37.5,,140.4,-57.0,-33.8,,
067290,JW신약,2300.0,30.0,1030.6,1675.5,5.8,46.8,51.8,-25.9,,147.6,-8.2,-25.9,,
024840,KBI메탈,5940.0,3.7,789.4,2666.7,85.0,73.9,0.0,-40.5,,215.3,-37.9,-40.5,,
332570,PS일렉트로닉스,7570.0,3.3,190.7,3652.8,12.8,11.7,-41.8,-46.6,,187.3,-40.8,-46.6,,
218410,RFHIC,46900.0,-4.05,105.8,11958.9,26.7,26.6,-49.6,-58.3,,218.7,-64.0,-58.3,,
327260,RF머트리얼즈,36750.0,-4.9,158.4,6287.1,17.3,102.5,-54.5,-69.2,,594.0,-84.1,-69.2,,
036540,SFA반도체,5700.0,2.81,125.0,9637.4,1.8,41.4,-36.7,-48.2,,183.4,-54.9,-48.2,,
198440,강동씨앤엘,1736.0,22.98,770.2,1300.9,-19.7,77.1,74.5,-28.1,,150.5,-1.4,-28.1,,
098460,고영,28450.0,-1.41,103.0,19131.3,54.8,25.1,-19.9,-34.6,,88.2,-42.1,-33.0,,
420770,기가비스,112700.0,-7.01,164.8,13284.2,148.0,22.5,-13.8,-41.4,,128.3,-23.1,-41.4,,
417010,나노팀,6990.0,-1.86,105.6,1383.8,-27.2,94.2,-52.3,-52.3,,306.9,-67.4,-52.3,,
045390,대아티아이,3075.0,15.28,203.0,2498.3,-50.7,38.8,-7.5,-43.1,,121.3,-54.2,-37.0,,
078600,대주전자재료,92200.0,-0.98,291.5,14337.9,-4.5,45.0,-39.9,-49.6,,159.8,-60.4,-43.1,,
010170,대한광통신,13960.0,-4.66,524.0,20695.1,407.1,87.4,-40.0,-52.0,,306.4,-59.5,-52.0,,
393890,더블유씨피,9860.0,11.16,151.0,3709.2,-11.0,65.4,-42.9,-52.3,,240.2,-70.6,-49.9,,
462860,더즌,2945.0,10.7,216.7,2339.3,-67.5,77.2,6.1,-47.3,,122.5,-54.9,-19.9,,
086450,동국제약,22250.0,-1.57,170.4,9905.5,-8.7,30.6,10.4,-25.6,,43.6,-27.8,-6.3,,
131970,두산테스나,80200.0,-2.24,118.7,15152.6,39.9,43.5,-47.9,-57.8,,267.0,-60.8,-57.8,,
347850,디앤디파마텍,53500.0,-3.18,266.8,23743.9,-76.3,10.0,-50.2,-83.3,,143.3,-39.0,-51.9,,
418420,라온텍,4025.0,9.69,105.8,1358.7,-42.9,46.6,-54.5,-64.7,,324.2,-63.0,-64.7,,
277810,레인보우로보틱스,460500.0,-2.39,230.5,87202.4,31.2,12.2,-34.2,-47.7,,135.4,-45.5,-47.6,,
108490,로보티즈,257500.0,-1.36,560.3,37254.3,11.1,48.5,-12.0,-36.4,,155.7,-49.5,-36.4,,
141080,리가켐바이오,96500.0,-1.66,148.1,35131.4,-41.8,16.4,-37.7,-54.8,,161.2,-57.1,-52.6,,
058470,리노공업,66600.0,-1.65,230.2,49918.8,12.4,14.4,-32.8,-47.6,,118.8,-54.3,-44.9,,
064550,바이오니아,8790.0,25.14,566.6,2839.1,-58.5,50.3,-4.7,-43.3,,76.7,-43.4,-14.1,,
308080,바이젠셀,6050.0,20.33,183.6,1492.3,16.5,32.8,-54.1,-61.7,,209.3,-57.1,-55.8,,
310210,보로노이,165000.0,0.61,117.5,30749.1,-31.7,54.3,-42.7,-54.6,,192.7,-65.5,-44.1,,
089970,브이엠,56500.0,-4.25,210.7,14242.8,227.8,-1.1,-7.7,-52.8,,136.6,-9.5,-52.8,,
083650,비에이치아이,62800.0,-2.55,141.8,18938.0,-22.9,74.7,-15.0,-42.6,,189.9,-65.1,-37.4,,
082920,비츠로셀,25800.0,4.65,111.4,12187.7,-11.5,-1.1,-51.1,-59.8,,161.6,-57.4,-59.8,,
069540,빛과전자,2835.0,0.18,105.6,3200.4,121.4,59.4,-49.4,-59.4,,319.3,-67.8,-59.4,,
000250,삼천당제약,167900.0,-1.55,141.9,38775.2,-42.5,32.7,-50.3,-85.8,,228.1,-68.3,-59.5,,
079650,서산,5210.0,0.38,196.6,1046.0,108.0,61.1,324.6,-35.8,,729.4,214.5,-35.8,,
178320,서진시스템,39000.0,-5.64,472.6,23423.5,35.2,32.0,-51.7,-51.7,,189.6,-54.5,-51.7,,
396300,세아메카닉스,4570.0,13.79,283.4,1377.5,34.4,20.6,-18.5,-33.8,,145.1,-43.1,-33.8,,
347700,스피어,21000.0,-4.29,138.7,10361.8,36.6,57.1,-49.9,-60.5,,271.8,-68.8,-56.4,,
257720,실리콘투,54200.0,-4.24,657.5,34034.1,-25.1,56.6,46.3,0.0,Y,48.2,-23.8,20.3,,
222800,심텍,129300.0,-2.86,622.5,47695.6,64.5,88.5,11.3,-17.8,,146.6,-27.7,-17.8,,
096530,씨젠,33600.0,-1.79,108.1,17234.6,2.2,32.0,9.8,-5.8,,33.6,2.7,5.0,,
413630,씨피시스템,4040.0,8.42,200.7,1595.9,30.6,2.3,33.1,-28.2,,114.5,-10.9,-3.8,,
025980,아난티,5150.0,3.69,522.5,5195.9,-63.9,53.3,1.0,-50.9,,128.4,-56.2,-32.6,,
124500,아이티센글로벌,35900.0,-6.55,228.9,7785.1,-0.9,92.1,-21.7,-50.1,,235.3,-70.2,-42.0,,
0007C0,아크릴,15070.0,14.07,155.2,1380.4,,14.2,-50.4,-77.5,,209.1,-66.7,-63.1,,
196170,알테오젠,307500.0,-2.11,846.8,209662.0,-39.4,8.8,-16.8,-45.0,,44.2,-25.1,-20.4,,
058610,에스피지,93300.0,-3.22,142.3,20026.2,208.7,14.1,-19.8,-41.0,,127.2,-40.6,-34.4,,
298380,에이비엘바이오,72700.0,-2.34,123.6,39751.1,-32.2,14.8,-36.5,-70.4,,117.9,-54.1,-45.1,,
086520,에코프로,91300.0,-4.49,782.6,118396.8,39.3,35.5,-36.9,-50.6,,141.5,-54.7,-43.9,,
247540,에코프로비엠,120800.0,-3.81,527.9,113679.0,-19.8,30.5,-44.7,-50.9,,156.5,-55.2,-49.1,,
383310,에코프로에이치엔,25350.0,-5.13,169.7,5044.5,-8.8,22.5,-21.5,-42.5,,61.1,-36.8,-24.0,,
092870,엑시콘,24000.0,15.83,154.0,3628.1,-25.4,118.2,-20.0,-41.1,,271.8,-71.5,-41.1,,
476060,온코닉테라퓨틱스,18030.0,-0.22,524.5,8168.9,-81.9,89.4,-5.2,-72.3,,135.0,-55.8,-19.3,,
226950,올릭스,103400.0,2.03,197.9,22221.3,-0.7,9.9,-42.6,-50.0,,101.2,-48.6,-42.6,,
232140,와이씨,10810.0,3.33,178.9,9164.5,-45.1,47.1,-36.9,-54.4,,231.9,-68.1,-54.4,,
032820,우리기술,11600.0,-7.33,455.2,18574.3,95.4,43.6,-25.4,-60.4,,178.4,-64.1,-46.2,,
041190,우리기술투자,6060.0,2.15,236.9,5199.6,-67.2,51.9,2.9,-50.2,,77.6,-41.7,-13.2,,
032940,원익,8000.0,-5.0,436.5,1382.7,-38.2,79.0,1.3,-46.5,,152.3,-57.7,-29.1,,
240810,원익IPS,111500.0,-1.35,378.7,53992.3,82.3,34.0,3.0,-39.2,,140.2,-37.7,-39.2,,
030530,원익홀딩스,18780.0,-5.59,162.2,13694.3,2.5,32.6,-34.0,-61.4,,158.2,-61.3,-45.7,,
330350,위더스제약,7860.0,5.85,814.2,1098.2,-15.2,30.6,12.3,-34.2,,48.6,-32.7,-12.0,,
084370,유진테크,133300.0,-0.9,104.5,30272.1,39.5,37.7,2.8,-35.4,,133.1,-32.9,-35.4,,
039030,이오테크닉스,404000.0,-2.48,329.8,48539.0,5.5,62.2,-16.6,-34.0,,155.0,-49.5,-34.0,,
041830,인바디,60200.0,1.5,133.3,8236.8,68.0,21.9,28.6,-15.0,,109.1,57.3,-2.9,Y,
080220,제주반도체,78200.0,-1.02,1528.3,26658.8,199.8,41.9,-28.7,-41.6,,167.5,-11.6,-41.6,,
036930,주성엔지니어링,177000.0,-2.26,726.6,80412.3,270.9,52.5,-14.9,-29.3,,154.8,-22.4,-29.3,,
119850,지엔씨에너지,46100.0,-5.1,301.4,7196.4,-10.6,61.2,91.3,-16.8,,148.2,-19.7,1.2,,
293490,카카오게임즈,8810.0,12.15,312.5,10546.4,-53.7,19.9,-7.1,-50.4,,70.6,-36.5,-25.5,,
199430,케이엔알시스템,17040.0,5.05,100.6,2004.3,1.0,13.4,-10.5,-57.9,,191.3,-53.7,-34.2,,
047770,코데즈컴바인,3510.0,12.54,633.7,1494.8,9.7,59.2,13.2,-35.8,,149.8,-58.5,-35.8,,
241710,코스메카코리아,149800.0,-5.74,186.9,15080.2,10.8,81.8,112.2,-2.7,,42.7,0.8,64.3,,
950160,코오롱티슈진,17620.0,1.82,231.5,15243.6,-72.2,33.5,-83.0,-87.3,,1089.4,-88.9,-87.3,,
126730,코칩,20200.0,2.97,272.6,1824.2,-30.3,102.8,-34.4,-34.4,,211.7,-55.1,-34.4,,
095610,테스,142500.0,-4.91,372.0,26232.8,163.1,24.7,16.5,-34.5,,150.9,15.3,-34.5,,
089030,테크윙,49600.0,-3.13,147.5,17804.3,-41.6,44.2,-3.3,-30.2,,112.9,-48.0,-27.0,,
064760,티씨케이,248000.0,-2.82,101.2,26942.4,-10.0,65.6,-9.7,-28.8,,152.2,-53.7,-28.8,,
131290,티에스이,237000.0,-5.91,208.3,24667.0,198.9,50.5,15.6,-16.7,,98.1,-14.4,-16.7,,
356860,티엘비,42000.0,-1.9,177.2,9764.9,-58.8,96.3,-67.0,-68.2,,541.8,-77.6,-68.2,,
440110,파두,65700.0,-3.96,152.4,31620.1,321.6,30.6,-41.0,-48.8,,162.9,-39.9,-48.8,,
214450,파마리서치,426000.0,-2.82,616.3,43013.1,-32.6,9.0,43.4,-40.1,,51.0,2.7,9.0,,
140860,파크시스템스,262500.0,-4.76,147.1,17506.2,-10.8,11.5,-7.2,-22.7,,49.6,-27.5,-22.7,,
087010,펩트론,183200.0,-9.66,369.1,38590.2,-53.3,35.4,-42.8,-52.5,,208.9,-54.8,-42.8,,
033790,피노,7850.0,5.48,496.7,6899.1,19.8,69.7,-27.9,-57.7,,303.3,-71.5,-57.7,,
319660,피에스케이,127700.0,-1.57,241.1,36411.2,247.7,11.1,22.8,-39.6,,133.4,1.3,-39.6,,
067310,하나마이크론,35550.0,-1.69,183.3,23238.6,16.6,33.4,-18.3,-37.4,,129.5,-41.1,-37.4,,
125490,한라캐스트,10680.0,3.09,152.3,4018.9,-27.3,66.1,-29.2,-55.5,,206.0,-64.0,-43.3,,
234340,헥토파이낸셜,22550.0,5.1,268.8,3311.0,-22.5,48.4,-15.2,-44.0,,162.7,-55.3,-43.2,,
319400,현대무벡스,23500.0,-2.77,137.9,25449.4,180.2,0.2,-37.2,-49.3,,136.4,-40.4,-46.4,,
024060,흥구석유,10060.0,1.49,132.8,1531.5,-16.5,-4.3,-25.8,-69.2,,85.6,-35.4,-40.4,,
294400,KIWOOM 200TR,141325.0,0.25,209.0,18064.2,90.1,19.8,-17.0,-27.0,,68.2,-16.5,-27.0,,
426030,TIME 미국나스닥100액티브,44450.0,0.73,264.0,24384.5,22.2,4.3,-19.2,-29.0,,52.8,-16.7,-29.0,,
