code,name,close,chg,amount_eok,cap_eok,mom_12_1,m1,m3,from_hi52,new_high,box_width,box_drift,over_box,trend,breakout
138930,BNK금융지주,15200.0,-1.75,150.3,46455.5,3.0,1.6,-11.2,-32.9,,26.9,-18.7,-19.1,,
001040,CJ,129900.0,-2.47,217.5,38017.6,-32.1,4.4,-21.1,-44.0,,80.8,-44.7,-42.1,,
097950,CJ제일제당,186500.0,-1.72,144.9,27488.9,-18.2,-2.2,-8.6,-24.3,,35.8,-21.5,-22.6,,
005830,DB손해보험,181100.0,-0.88,523.7,125040.2,9.6,17.1,28.3,-11.9,,31.6,-2.3,4.7,,
000990,DB하이텍,95000.0,-5.51,272.4,38806.1,31.4,26.8,-51.1,-56.9,,209.7,-56.0,-56.9,,
375500,DL이앤씨,72000.0,-2.1,254.9,27085.5,26.6,37.4,-5.9,-29.8,,91.4,-40.7,-28.2,,
078930,GS,127100.0,-3.77,446.9,111474.6,81.6,51.1,71.5,-1.6,,52.5,6.9,33.4,,
006360,GS건설,36300.0,-3.15,503.8,27600.0,20.2,63.5,26.0,-15.8,,77.3,-38.1,-7.8,,
267270,HD건설기계,133300.0,-3.78,218.1,59758.6,27.1,12.7,-14.1,-32.7,,74.8,-40.2,-30.8,,
009540,HD한국조선해양,348500.0,-6.79,940.5,233197.4,-16.2,4.0,-16.0,-27.3,,45.0,-21.5,-26.5,,
267250,HD현대,219000.0,-4.34,326.0,165490.5,22.1,16.7,-20.5,-29.5,,61.2,-35.9,-27.6,,
443060,HD현대마린솔루션,207500.0,-1.97,127.5,89218.6,-11.6,14.5,-8.2,-26.0,,49.1,-32.9,-23.0,,
322000,HD현대에너지솔루션,142300.0,-0.97,387.9,14851.2,113.3,43.0,-20.7,-41.7,,145.2,-54.3,-41.7,,
267260,HD현대일렉트릭,781000.0,-7.54,1260.8,256295.1,1.4,33.3,-25.4,-45.0,,143.6,-55.1,-45.0,,
329180,HD현대중공업,449500.0,-6.84,1069.4,442936.4,-11.7,3.6,-36.2,-39.7,,71.7,-34.1,-39.7,,
204320,HL만도,51800.0,-5.86,206.6,22234.2,15.7,32.5,-16.0,-32.6,,96.7,-31.5,-32.6,,
011200,HMM,21450.0,-2.58,191.9,196193.5,-1.7,5.9,9.4,-12.4,,21.0,-2.4,-3.2,,
175330,JB금융지주,28350.0,4.44,206.5,56982.4,14.6,8.0,17.6,-24.4,,25.8,-1.6,-1.4,,
105560,KB금융,173300.0,-1.23,2401.3,599777.0,38.4,8.2,15.8,-6.9,,24.7,6.1,-6.9,Y,
002380,KCC,474000.0,-2.84,140.0,41202.9,-1.8,34.5,-13.8,-30.3,,76.7,-38.1,-23.9,,
030200,KT,53400.0,-0.37,144.3,135587.7,6.5,-0.7,2.9,-22.5,,19.4,-12.9,-13.3,,
033780,KT&G,178100.0,-0.29,433.4,181045.4,34.1,-2.5,-3.0,-5.8,,13.1,3.5,-5.8,,
003550,LG,119400.0,-1.5,466.2,179162.5,27.2,29.5,3.1,-28.0,,79.8,-5.8,-28.0,,
034220,LG디스플레이,9440.0,-2.91,375.7,45050.0,-41.4,10.2,-34.5,-43.4,,95.4,-30.6,-43.4,,
