code,name,close,chg,amount_eok,cap_eok,mom_12_1,m1,m3,from_hi52,new_high,box_width,box_drift,over_box,trend,breakout
138930,BNK금융지주,15200.0,0.19,137.5,49217.1,3.0,1.6,-11.2,-32.9,,26.9,-18.7,-19.1,,
005830,DB손해보험,181100.0,-1.97,218.0,123599.2,9.6,17.1,28.3,-11.9,,31.6,-2.3,4.7,,
000990,DB하이텍,95000.0,4.85,1078.1,50769.9,31.4,26.8,-51.1,-56.9,,209.7,-56.0,-56.9,,
375500,DL이앤씨,72000.0,4.32,807.8,34592.1,26.6,37.4,-5.9,-29.8,,91.4,-40.7,-28.2,,
078930,GS,127100.0,-1.12,279.9,106922.7,81.6,51.1,71.5,-1.6,,52.5,6.9,33.4,,
006360,GS건설,36300.0,3.14,693.2,32349.8,20.2,63.5,26.0,-15.8,,77.3,-38.1,-7.8,,
267270,HD건설기계,133300.0,-3.79,350.5,63884.0,27.1,12.7,-14.1,-32.7,,74.8,-40.2,-30.8,,
009540,HD한국조선해양,348500.0,-6.74,561.7,239920.9,-16.2,4.0,-16.0,-27.3,,45.0,-21.5,-26.5,,
267250,HD현대,219000.0,-8.72,371.3,177734.4,22.1,16.7,-20.5,-29.5,,61.2,-35.9,-27.6,,
443060,HD현대마린솔루션,207500.0,-2.93,189.1,104013.6,-11.6,14.5,-8.2,-26.0,,49.1,-32.9,-23.0,,
071970,HD현대마린엔진,52100.0,-5.24,101.3,16875.9,-39.2,8.7,-28.8,-54.9,,123.6,-55.3,-51.4,,
322000,HD현대에너지솔루션,142300.0,-2.99,193.7,13820.8,113.3,43.0,-20.7,-41.7,,145.2,-54.3,-41.7,,
267260,HD현대일렉트릭,781000.0,-5.28,963.9,252329.9,1.4,33.3,-25.4,-45.0,,143.6,-55.1,-45.0,,
329180,HD현대중공업,449500.0,-5.32,1380.0,475999.2,-11.7,3.6,-36.2,-39.7,,71.7,-34.1,-39.7,,
204320,HL만도,51800.0,0.21,105.4,22821.2,15.7,32.5,-16.0,-32.6,,96.7,-31.5,-32.6,,
011200,HMM,21450.0,-2.82,139.0,194778.6,-1.7,5.9,9.4,-12.4,,21.0,-2.4,-3.2,,
105560,KB금융,173300.0,-3.19,2054.1,623541.0,38.4,8.2,15.8,-6.9,,24.7,6.1,-6.9,Y,
002380,KCC,474000.0,-0.74,152.0,40386.6,-1.8,34.5,-13.8,-30.3,,76.7,-38.1,-23.9,,
033780,KT&G,178100.0,-1.33,262.6,177308.3,34.1,-2.5,-3.0,-5.8,,13.1,3.5,-5.8,,
003550,LG,119400.0,0.97,284.7,172812.5,27.2,29.5,3.1,-28.0,,79.8,-5.8,-28.0,,
034220,LG디스플레이,9440.0,-2.71,308.5,43050.0,-41.4,10.2,-34.5,-43.4,,95.4,-30.6,-43.4,,
051900,LG생활건강,313000.0,1.0,299.6,45226.1,-7.9,19.0,26.2,-6.1,,35.8,4.5,7.2,,
064400,LG씨엔에스,77200.0,0.42,198.5,68789.0,-10.4,30.2,-11.9,-46.3,,146.9,-11.7,-46.3,,
373220,LG에너지솔루션,378000.0,3.98,1224.1,855270.0,-14.5,25.8,-14.5,-26.5,,60.7,-32.2,-21.7,,
011070,LG이노텍,642000.0,-1.56,653.1,119755.6,140.3,40.2,-43.4,-58.0,,260.8,-28.7,-58.0,,
066570,LG전자,216500.0,1.92,916.4,329027.0,96.2,43.9,-4.0,-44.8,,174.1,3.4,-44.8,,
051910,LG화학,280000.0,1.31,490.3,191658.2,-17.0,20.4,-18.7,-34.8,,84.7,-42.8,-34.8,,
079550,LIG디펜스앤에어로스페이스,694000.0,-4.82,573.0,147620.0,22.3,11.9,-18.9,-32.0,,61.6,-34.8,-30.7,,
006260,LS,311500.0,-2.72,195.3,94692.0,50.0,27.9,-34.5,-43.7,,147.4,-56.1,-43.7,,
010120,LS ELECTRIC,207500.0,-2.31,877.7,292050.0,-42.8,26.7,-15.8,-76.6,,111.9,-48.9,-34.9,,
035420,NAVER,217000.0,0.98,772.2,313314.4,-26.6,7.7,5.9,-24.4,,53.1,-6.8,-22.6,,
036570,NC,224500.0,-1.21,126.8,43949.8,0.5,0.9,-21.1,-33.6,,60.6,-14.4,-33.6,,
010060,OCI홀딩스,277500.0,-1.21,271.0,37993.9,91.1,63.1,-23.8,-28.5,,128.1,-50.7,-28.5,,
005490,POSCO홀딩스,338500.0,1.84,830.6,263081.9,3.6,17.3,-19.4,-36.7,,85.4,-40.1,-36.7,,
010950,S-Oil,150100.0,0.07,514.3,167410.6,95.1,18.8,40.3,-2.3,,62.2,1.6,-0.7,Y,
034730,SK,545000.0,-3.51,484.0,398764.9,134.5,11.5,-17.9,-36.5,,83.1,-1.5,-36.5,,
402340,SK스퀘어,1037000.0,0.0,3686.3,1319240.0,331.3,22.0,-16.2,-47.4,,146.6,-19.4,-47.4,,
096770,SK이노베이션,125500.0,3.66,1366.2,239547.8,7.8,14.6,7.3,-16.2,,63.9,-20.0,-14.5,,
475150,SK이터닉스,55000.0,-0.6,239.4,16999.4,96.6,26.6,36.5,-32.0,,151.6,-24.3,-32.0,,
017670,SK텔레콤,94200.0,-2.33,711.9,189015.2,44.2,19.8,-2.8,-24.8,,60.1,-19.7,-24.8,,
