code,name,close
095570,AJ네트웍스,5120.0
006840,AK홀딩스,8620.0
027410,BGF,4995.0
282330,BGF리테일,133500.0
138930,BNK금융지주,19160.0
001460,BYC,49000.0
001465,BYC우,32450.0
001040,CJ,214500.0
079160,CJ CGV,4855.0
00104K,CJ4우(전환),182200.0
000120,CJ대한통운,106800.0
011150,CJ씨푸드,2780.0
011155,CJ씨푸드1우,13010.0
001045,CJ우,88400.0
097950,CJ제일제당,237000.0
097955,CJ제일제당 우,137900.0
000480,CR홀딩스,5090.0
000590,CS홀딩스,78800.0
012030,DB,1754.0
005830,DB손해보험,173300.0
016610,DB증권,13730.0
000990,DB하이텍,106900.0
001530,DI동일,23050.0
000210,DL,64600.0
000215,DL우,29450.0
375500,DL이앤씨,97700.0
37550L,DL이앤씨2우(전환),59000.0
37550K,DL이앤씨우,32150.0
007340,DN오토모티브,39400.0
004840,DRB동일,5400.0
155660,DSR,4530.0
069730,DSR제강,5520.0
017860,DS단석,19590.0
092780,DYP,5030.0
017940,E1,97600.0
365550,ESR켄달스퀘어리츠,4495.0
383220,F&F,66900.0
007700,F&F홀딩스,19500.0
114090,GKL,11970.0
078930,GS,71900.0
006360,GS건설,39000.0
001250,GS글로벌,3250.0
007070,GS리테일,23400.0
078935,GS우,55500.0
499790,GS피앤엘,49050.0
012630,HDC,27200.0
039570,HDC랩스,8130.0
089470,HDC현대EP,5410.0
267270,HD건설기계,162900.0
009540,HD한국조선해양,419500.0
267250,HD현대,259500.0
443060,HD현대마린솔루션,189000.0
071970,HD현대마린엔진,91200.0
322000,HD현대에너지솔루션,160400.0
267260,HD현대일렉트릭,1087000.0
329180,HD현대중공업,514000.0
097230,HJ중공업,28550.0
014790,HL D&I,3600.0
003580,HLB글로벌,2280.0
204320,HL만도,52900.0
060980,HL홀딩스,42300.0
011200,HMM,21100.0
035000,HS애드,8590.0
002460,HS화성,13350.0
487570,HS효성,56300.0
298050,HS효성첨단소재,221500.0
015360,INVENI,16110.0
294870,IPARK현대산업개발,23400.0
175330,JB금융지주,31000.0
234080,JW생명과학,12970.0
001060,JW중외제약,31450.0
001067,JW중외제약2우B,55400.0
001065,JW중외제약우,26400.0
096760,JW홀딩스,4235.0
008970,KBI동양철관,1956.0
105560,KB금융,162300.0
415640,KB발해인프라,9910.0
432320,KB스타리츠,2215.0
002380,KCC,541000.0
344820,KCC글라스,29050.0
009070,KCTC,6300.0
092220,KEC,1300.0
003620,KG모빌리티,4360.0
016380,KG스틸,5900.0
001390,KG케미칼,5870.0
001940,KISCO홀딩스,27400.0
025000,KPX케미칼,52300.0
092230,KPX홀딩스,86800.0
000040,KR모터스,475.0
044450,KSS해운,12240.0
030200,KT,63900.0
033780,KT&G,171300.0
058850,KTcs,2735.0
058860,KTis,2915.0
093050,LF,25750.0
003550,LG,94800.0
034220,LG디스플레이,14410.0
051900,LG생활건강,255000.0
051905,LG생활건강우,112000.0
064400,LG씨엔에스,66300.0
373220,LG에너지솔루션,418000.0
003555,LG우,69100.0
032640,LG유플러스,17600.0
011070,LG이노텍,394000.0
066570,LG전자,124200.0
066575,LG전자우,54000.0
037560,LG헬로비전,2420.0
051910,LG화학,360000.0
051915,LG화학우,171900.0
079550,LIG디펜스앤에어로스페이스,876000.0
006260,LS,329500.0
010120,LS ELECTRIC,186500.0
000680,LS네트웍스,3475.0
229640,LS에코에너지,57700.0
108320,LX세미콘,54600.0
001120,LX인터내셔널,49550.0
108670,LX하우시스,31500.0
108675,LX하우시스우,16100.0
383800,LX홀딩스,8480.0
38380K,LX홀딩스1우,8480.0
023150,MH에탄올,4720.0
035420,NAVER,216500.0
036570,NC,262500.0
181710,NHN,39400.0
400760,NH올원리츠,3375.0
005940,NH투자증권,35300.0
005945,NH투자증권우,27250.0
338100,NH프라임리츠,4785.0
034310,NICE,13670.0
030190,NICE평가정보,15950.0
008260,NI스틸,3805.0
004250,NPC,3980.0
004255,NPC우,2415.0
456040,OCI,98000.0
010060,OCI홀딩스,267500.0
178920,PI첨단소재,25750.0
001340,PKC,7970.0
005490,POSCO홀딩스,385000.0
010950,S-Oil,117300.0
010955,S-Oil우,57500.0
034120,SBS,15700.0
003080,SB성보,2660.0
005090,SGC에너지,51400.0
001770,SHD,17160.0
002360,SH에너지화학,410.0
009160,SIMPAC,5400.0
033530,SJG세종,8020.0
123700,SJM,3730.0
025530,SJM홀딩스,3720.0
034730,SK,368500.0
011790,SKC,113700.0
018670,SK가스,243000.0
001740,SK네트웍스,5430.0
006120,SK디스커버리,63500.0
006125,SK디스커버리우,42100.0
210980,SK디앤디,13030.0
395400,SK리츠,6830.0
302440,SK바이오사이언스,46600.0
326030,SK바이오팜,105500.0
402340,SK스퀘어,682000.0
361610,SK아이이테크놀로지,24200.0
100090,SK오션플랜트,23100.0
03473K,SK우,264000.0
096770,SK이노베이션,129400.0
096775,SK이노베이션우,74200.0
475150,SK이터닉스,53900.0
285130,SK케미칼,59300.0
28513K,SK케미칼우,27750.0
017670,SK텔레콤,98300.0
000660,SK하이닉스,1128000.0
003570,SNT다이내믹스,54900.0
064960,SNT모티브,34000.0
100840,SNT에너지,55200.0
036530,SNT홀딩스,64000.0
005610,SPC삼립,49950.0
465770,STX그린로지스,6160.0
077970,STX엔진,44000.0
002820,SUN&L,2550.0
084870,TBH글로벌,2070.0
002710,TCC스틸,16960.0
069260,TKG휴켐스,18070.0
007980,TP,2105.0
002900,TYM,7340.0
024070,WISCOM,2080.0
037270,YG PLUS,5340.0
139130,iM금융지주,18700.0
000500,가온전선,146800.0
000860,강남제비스코,14580.0
035250,강원랜드,17090.0
011420,갤럭시아에스엠,1867.0
002100,경농,9980.0
009450,경동나비엔,69600.0
267290,경동도시가스,22850.0
012320,경동인베스트,60200.0
000050,경방,10020.0
214390,경보제약,7210.0
012610,경인양행,4305.0
009140,경인전자,23350.0
013580,계룡건설,28200.0
012200,계양전기,6680.0
012205,계양전기우,7690.0
002140,고려산업,2855.0
010130,고려아연,1679000.0
002240,고려제강,25050.0
009290,광동제약,8460.0
017900,광전자,13810.0
037710,광주신세계,38550.0
030610,교보증권,13170.0
339770,교촌에프앤비,4425.0
007690,국도화학,42500.0
002720,국제약품,5040.0
083420,그린케미칼,6110.0
014530,극동유화,3900.0
014280,금강공업,5410.0
014285,금강공업우,7240.0
008870,금비,45400.0
002990,금호건설,5380.0
002995,금호건설우,15790.0
011780,금호석유화학,137600.0
011785,금호석유화학우,60300.0
001210,금호전기,955.0
073240,금호타이어,6020.0
092440,기신정기,2325.0
000270,기아,159200.0
024110,기업은행,22550.0
013700,까뮤이앤씨,1384.0
004540,깨끗한나라,2095.0
004545,깨끗한나라우,10600.0
001260,남광토건,10070.0
008350,남선알미늄,2460.0
008355,남선알미우,13970.0
003920,남양유업,52500.0
003925,남양유업우,38000.0
025860,남해화학,8840.0
005720,넥센,6800.0
005725,넥센우,4480.0
002350,넥센타이어,7450.0
002355,넥센타이어1우B,4340.0
092790,넥스틸,16050.0
251270,넷마블,51600.0
090350,노루페인트,8700.0
090355,노루페인트우,13500.0
000320,노루홀딩스,22400.0
000325,노루홀딩스우,32750.0
006280,녹십자,151200.0
005250,녹십자홀딩스,14530.0
005257,녹십자홀딩스2우,25200.0
004370,농심,380000.0
072710,농심홀딩스,96200.0
058730,다스코,3885.0
030210,다올투자증권,4235.0
023590,다우기술,49600.0
483650,달바글로벌,197800.0
019680,대교,1615.0
019685,대교우B,1059.0
006370,대구백화점,6330.0
008060,대덕,15130.0
00806K,대덕1우,10640.0
353200,대덕전자,94300.0
35320K,대덕전자1우,20150.0
000490,대동,10190.0
005750,대림바스,5860.0
006570,대림통상,2015.0
001680,대상,21250.0
001685,대상우,16700.0
084690,대상홀딩스,9970.0
084695,대상홀딩스우,14910.0
128820,대성산업,7180.0
117580,대성에너지,9180.0
016710,대성홀딩스,8640.0
0030R0,대신밸류리츠,4375.0
003540,대신증권,39100.0
003547,대신증권2우B,23600.0
003545,대신증권우,24850.0
009190,대양금속,1550.0
014160,대영포장,1247.0
047040,대우건설,28700.0
003090,대웅,23850.0
069620,대웅제약,154100.0
000430,대원강업,4445.0
006340,대원전선,6190.0
006345,대원전선우,4065.0
003220,대원제약,11060.0
024890,대원화성,837.0
012800,대창,1514.0
015230,대창단조,7030.0
001070,대한방직,6770.0
006650,대한유화,155100.0
001440,대한전선,39300.0
084010,대한제강,11400.0
001790,대한제당,3165.0
001795,대한제당우,2515.0
001130,대한제분,155200.0
439260,대한조선,90400.0
003490,대한항공,25050.0
003495,대한항공우,23650.0
005880,대한해운,2750.0
003830,대한화섬,122100.0
016090,대현,1771.0
475560,더본코리아,21250.0
192080,더블유게임즈,52200.0
012510,더존비즈온,119400.0
004830,덕성,4965.0
004835,덕성우,6850.0
145720,덴티움,56100.0
002150,도화엔지니어링,7240.0
460850,동국씨엠,5780.0
460860,동국제강,10600.0
001230,동국홀딩스,11110.0
023450,동남합성,30500.0
004140,동방,2910.0
007590,동방아그로,6060.0
005960,동부건설,9450.0
005965,동부건설우,20950.0
026960,동서,27700.0
102260,동성케미컬,4470.0
000640,동아쏘시오홀딩스,97900.0
170900,동아에스티,46600.0
028100,동아지질,17750.0
001520,동양,813.0
001527,동양2우B,7060.0
084670,동양고속,40250.0
082640,동양생명,8470.0
001525,동양우,4430.0
018500,동원금속,1716.0
006040,동원산업,39500.0
030720,동원수산,6450.0
014820,동원시스템즈,25900.0
014825,동원시스템즈우,16400.0
111380,동인기연,14570.0
163560,동일고무벨트,7610.0
004890,동일산업,37500.0
002690,동일제강,1684.0
000020,동화약품,6080.0
000150,두산,1330000.0
000157,두산2우B,471000.0
454910,두산로보틱스,93500.0
241560,두산밥캣,71400.0
034020,두산에너빌리티,108500.0
000155,두산우,540000.0
336260,두산퓨얼셀,46050.0
33626K,두산퓨얼셀1우,7930.0
33626L,두산퓨얼셀2우B,10190.0
016740,두올,4650.0
192650,드림텍,6770.0
024090,디씨엠,12600.0
003160,디아이,31700.0
092200,디아이씨,7740.0
377190,디앤디플랫폼리츠,3170.0
013570,디와이,5110.0
024900,디와이덕양,2315.0
002880,디와이에이,935.0
210540,디와이파워,15470.0
032350,롯데관광개발,19840.0
089860,롯데렌탈,32900.0
330590,롯데리츠,4795.0
000400,롯데손해보험,2185.0
023530,롯데쇼핑,121300.0
020150,롯데에너지머티리얼즈,52900.0
280360,롯데웰푸드,116200.0
286940,롯데이노베이트,22400.0
004000,롯데정밀화학,54400.0
004990,롯데지주,28950.0
00499K,롯데지주우,29000.0
005300,롯데칠성,121800.0
005305,롯데칠성우,82500.0
011170,롯데케미칼,88700.0
071840,롯데하이마트,8110.0
027740,마니커,838.0
357430,마스턴프리미어리츠,1413.0
001080,만호제강,5240.0
088980,맥쿼리인프라,11360.0
094800,맵스리얼티,7090.0
138040,메리츠금융지주,117700.0
090370,메타랩스,1536.0
118000,메타케어,240.0
017180,명문제약,1851.0
009900,명신산업,10520.0
317450,명인제약,57700.0
012690,모나리자,2375.0
005360,모나미,1760.0
070960,모나용평,3185.0
009680,모토닉,11080.0
009580,무림P&P,3630.0
009200,무림페이퍼,2240.0
033920,무학,9110.0
