code,name,close
095570,AJ네트웍스,5240.0
006840,AK홀딩스,8540.0
027410,BGF,5090.0
282330,BGF리테일,138200.0
138930,BNK금융지주,18740.0
001460,BYC,52100.0
001465,BYC우,33950.0
001040,CJ,219500.0
079160,CJ CGV,4940.0
00104K,CJ4우(전환),188000.0
000120,CJ대한통운,103000.0
011150,CJ씨푸드,2745.0
011155,CJ씨푸드1우,13190.0
001045,CJ우,90000.0
097950,CJ제일제당,234000.0
097955,CJ제일제당 우,136600.0
000480,CR홀딩스,5040.0
000590,CS홀딩스,79300.0
012030,DB,2110.0
005830,DB손해보험,171300.0
016610,DB증권,14200.0
000990,DB하이텍,159000.0
001530,DI동일,32250.0
000210,DL,67300.0
000215,DL우,30000.0
375500,DL이앤씨,98300.0
37550L,DL이앤씨2우(전환),58600.0
37550K,DL이앤씨우,31900.0
007340,DN오토모티브,41300.0
004840,DRB동일,5450.0
155660,DSR,4460.0
069730,DSR제강,5700.0
017860,DS단석,24900.0
092780,DYP,5130.0
017940,E1,103100.0
365550,ESR켄달스퀘어리츠,4595.0
383220,F&F,66600.0
007700,F&F홀딩스,19960.0
114090,GKL,11810.0
078930,GS,76500.0
006360,GS건설,40750.0
001250,GS글로벌,5060.0
007070,GS리테일,24000.0
078935,GS우,56900.0
499790,GS피앤엘,56400.0
012630,HDC,27550.0
039570,HDC랩스,8410.0
089470,HDC현대EP,5400.0
267270,HD건설기계,198100.0
009540,HD한국조선해양,479000.0
267250,HD현대,284500.0
443060,HD현대마린솔루션,280500.0
071970,HD현대마린엔진,115500.0
322000,HD현대에너지솔루션,188700.0
267260,HD현대일렉트릭,1306000.0
329180,HD현대중공업,673000.0
097230,HJ중공업,31000.0
014790,HL D&I,3530.0
003580,HLB글로벌,2230.0
204320,HL만도,56700.0
060980,HL홀딩스,43850.0
011200,HMM,20950.0
035000,HS애드,8780.0
002460,HS화성,12740.0
487570,HS효성,57500.0
298050,HS효성첨단소재,239000.0
015360,INVENI,16060.0
294870,IPARK현대산업개발,22950.0
175330,JB금융지주,27500.0
234080,JW생명과학,12950.0
001060,JW중외제약,32200.0
001067,JW중외제약2우B,54200.0
001065,JW중외제약우,26700.0
096760,JW홀딩스,4390.0
008970,KBI동양철관,1967.0
105560,KB금융,157400.0
415640,KB발해인프라,9920.0
432320,KB스타리츠,2225.0
002380,KCC,552000.0
344820,KCC글라스,28950.0
009070,KCTC,6150.0
092220,KEC,1838.0
003620,KG모빌리티,4275.0
016380,KG스틸,6510.0
001390,KG케미칼,6250.0
001940,KISCO홀딩스,27350.0
025000,KPX케미칼,52900.0
092230,KPX홀딩스,89200.0
000040,KR모터스,448.0
044450,KSS해운,12970.0
030200,KT,61100.0
033780,KT&G,177800.0
058850,KTcs,2670.0
058860,KTis,2855.0
093050,LF,25650.0
003550,LG,95500.0
034220,LG디스플레이,12650.0
051900,LG생활건강,254000.0
051905,LG생활건강우,113600.0
064400,LG씨엔에스,66900.0
373220,LG에너지솔루션,464000.0
003555,LG우,70000.0
032640,LG유플러스,16430.0
011070,LG이노텍,536000.0
066570,LG전자,130000.0
066575,LG전자우,56700.0
037560,LG헬로비전,2375.0
051910,LG화학,379500.0
051915,LG화학우,182900.0
079550,LIG디펜스앤에어로스페이스,950000.0
