code,name,close
095570,AJ네트웍스,4550.0
006840,AK홀딩스,8930.0
027410,BGF,4055.0
282330,BGF리테일,110800.0
138930,BNK금융지주,15510.0
001460,BYC,42700.0
001465,BYC우,25050.0
001040,CJ,187800.0
079160,CJ CGV,5540.0
00104K,CJ4우(전환),161800.0
000120,CJ대한통운,99300.0
011150,CJ씨푸드,2710.0
011155,CJ씨푸드1우,14680.0
001045,CJ우,93700.0
097950,CJ제일제당,211000.0
097955,CJ제일제당 우,139900.0
000480,CR홀딩스,5030.0
000590,CS홀딩스,80000.0
012030,DB,1560.0
005830,DB손해보험,125400.0
016610,DB증권,10740.0
000990,DB하이텍,64400.0
001530,DI동일,20250.0
000210,DL,39350.0
000215,DL우,25950.0
375500,DL이앤씨,39850.0
37550L,DL이앤씨2우(전환),29800.0
37550K,DL이앤씨우,22350.0
007340,DN오토모티브,24950.0
004840,DRB동일,4860.0
155660,DSR,3910.0
069730,DSR제강,3725.0
017860,DS단석,19600.0
092780,DYP,3490.0
017940,E1,86100.0
365550,ESR켄달스퀘어리츠,4435.0
383220,F&F,74400.0
007700,F&F홀딩스,21000.0
114090,GKL,14250.0
078930,GS,58700.0
006360,GS건설,19080.0
001250,GS글로벌,2400.0
007070,GS리테일,22400.0
078935,GS우,48900.0
499790,GS피앤엘,48850.0
012630,HDC,17800.0
039570,HDC랩스,8500.0
089470,HDC현대EP,4185.0
294870,HDC현대산업개발,19580.0
009540,HD한국조선해양,419000.0
267250,HD현대,207500.0
267270,HD현대건설기계,95500.0
443060,HD현대마린솔루션,188600.0
071970,HD현대마린엔진,82000.0
322000,HD현대에너지솔루션,53500.0
042670,HD현대인프라코어,14830.0
267260,HD현대일렉트릭,798000.0
329180,HD현대중공업,527000.0
097230,HJ중공업,21800.0
014790,HL D&I,2660.0
003580,HLB글로벌,2185.0
204320,HL만도,54100.0
060980,HL홀딩스,52200.0
011200,HMM,20100.0
035000,HS애드,9300.0
002460,HS화성,12560.0
487570,HS효성,65000.0
298050,HS효성첨단소재,198600.0
015360,INVENI,66000.0
175330,JB금융지주,24700.0
234080,JW생명과학,13750.0
001060,JW중외제약,26350.0
001067,JW중외제약2우B,60600.0
001065,JW중외제약우,27250.0
096760,JW홀딩스,3670.0
008970,KBI동양철관,1857.0
105560,KB금융,128800.0
415640,KB발해인프라,9780.0
432320,KB스타리츠,3675.0
002380,KCC,431000.0
344820,KCC글라스,27450.0
009070,KCTC,5320.0
092220,KEC,700.0
003620,KG모빌리티,3535.0
016380,KG스틸,5490.0
001390,KG케미칼,5620.0
001940,KISCO홀딩스,26300.0
092230,KPX홀딩스,76100.0
000040,KR모터스,496.0
044450,KSS해운,9600.0
030200,KT,53100.0
033780,KT&G,143300.0
058850,KTcs,2870.0
058860,KTis,2765.0
093050,LF,18370.0
003550,LG,81500.0
034220,LG디스플레이,12850.0
051900,LG생활건강,271500.0
051905,LG생활건강우,117900.0
064400,LG씨엔에스,62900.0
373220,LG에너지솔루션,410000.0
003555,LG우,68500.0
032640,LG유플러스,15250.0
011070,LG이노텍,283000.0
066570,LG전자,94800.0
066575,LG전자우,51700.0
037560,LG헬로비전,2350.0
051910,LG화학,376000.0
051915,LG화학우,193600.0
079550,LIG넥스원,368000.0
006260,LS,187000.0
010120,LS ELECTRIC,486500.0
000680,LS네트웍스,3400.0
229640,LS에코에너지,34700.0
108320,LX세미콘,52400.0
001120,LX인터내셔널,32400.0
108670,LX하우시스,30300.0
108675,LX하우시스우,17280.0
383800,LX홀딩스,8210.0
38380K,LX홀딩스1우,8600.0
023150,MH에탄올,5080.0
035420,NAVER,247000.0
181710,NHN,33250.0
400760,NH올원리츠,3600.0
005940,NH투자증권,21350.0
005945,NH투자증권우,19580.0
338100,NH프라임리츠,4510.0
034310,NICE,13580.0
030190,NICE평가정보,16600.0
008260,NI스틸,3370.0
004250,NPC,3935.0
004255,NPC우,2500.0
456040,OCI,60000.0
010060,OCI홀딩스,100700.0
178920,PI첨단소재,16760.0
001340,PKC,5780.0
005490,POSCO홀딩스,306500.0
010950,S-Oil,81400.0
010955,S-Oil우,47900.0
034120,SBS,19570.0
003080,SB성보,2940.0
005090,SGC에너지,24400.0
001380,SG글로벌,1810.0
004060,SG세계물산,342.0
001770,SHD,18130.0
002360,SH에너지화학,412.0
009160,SIMPAC,5010.0
033530,SJG세종,10060.0
123700,SJM,3775.0
025530,SJM홀딩스,3855.0
034730,SK,266000.0
011790,SKC,110500.0
018670,SK가스,239500.0
001740,SK네트웍스,4660.0
006120,SK디스커버리,62000.0
006125,SK디스커버리우,39700.0
210980,SK디앤디,12680.0
395400,SK리츠,5530.0
302440,SK바이오사이언스,54400.0
326030,SK바이오팜,136300.0
402340,SK스퀘어,312500.0
361610,SK아이이테크놀로지,29150.0
100090,SK오션플랜트,17560.0
03473K,SK우,200000.0
096770,SK이노베이션,112600.0
096775,SK이노베이션우,74100.0
475150,SK이터닉스,19790.0
001510,SK증권,662.0
001515,SK증권우,2160.0
285130,SK케미칼,71900.0
28513K,SK케미칼우,30650.0
017670,SK텔레콤,54200.0
000660,SK하이닉스,542000.0
003570,SNT다이내믹스,41900.0
064960,SNT모티브,35600.0
100840,SNT에너지,39550.0
036530,SNT홀딩스,56400.0
005610,SPC삼립,54800.0
465770,STX그린로지스,6680.0
077970,STX엔진,34550.0
002820,SUN&L,2405.0
084870,TBH글로벌,1272.0
002710,TCC스틸,15920.0
069260,TKG휴켐스,18760.0
007980,TP,1793.0
002900,TYM,6330.0
024070,WISCOM,1929.0
037270,YG PLUS,6340.0
139130,iM금융지주,14470.0
000500,가온전선,75500.0
000860,강남제비스코,12290.0
035250,강원랜드,18000.0
011420,갤럭시아에스엠,1929.0
002100,경농,9300.0
009450,경동나비엔,58700.0
267290,경동도시가스,21800.0
012320,경동인베스트,51800.0
000050,경방,7710.0
214390,경보제약,6070.0
012610,경인양행,3010.0
009140,경인전자,20400.0
013580,계룡건설,20200.0
012200,계양전기,1510.0
012205,계양전기우,3070.0
002140,고려산업,2490.0
010130,고려아연,1298000.0
002240,고려제강,19060.0
009290,광동제약,5980.0
017040,광명전기,1315.0
017900,광전자,1818.0
037710,광주신세계,31350.0
030610,교보증권,9480.0
339770,교촌에프앤비,4450.0
007690,국도화학,31500.0
002720,국제약품,4320.0
083420,그린케미칼,6820.0
014530,극동유화,3385.0
014280,금강공업,6230.0
014285,금강공업우,10650.0
008870,금비,52800.0
002990,금호건설,3980.0
002995,금호건설우,10840.0
011780,금호석유화학,119700.0
011785,금호석유화학우,63000.0
214330,금호에이치티,555.0
001210,금호전기,627.0
073240,금호타이어,6340.0
092440,기신정기,2340.0
000270,기아,120300.0
024110,기업은행,21100.0
013700,까뮤이앤씨,1102.0
004540,깨끗한나라,1945.0
004545,깨끗한나라우,11150.0
001260,남광토건,7740.0
008350,남선알미늄,1046.0
008355,남선알미우,12250.0
004270,남성,867.0
003920,남양유업,50500.0
003925,남양유업우,34300.0
025860,남해화학,6590.0
005720,넥센,6310.0
005725,넥센우,4670.0
002350,넥센타이어,7730.0
002355,넥센타이어1우B,3795.0
092790,넥스틸,9680.0
251270,넷마블,50900.0
090350,노루페인트,8350.0
090355,노루페인트우,13310.0
000320,노루홀딩스,22000.0
000325,노루홀딩스우,30050.0
006280,녹십자,137200.0
005250,녹십자홀딩스,16380.0
005257,녹십자홀딩스2우,24700.0
004370,농심,431000.0
072710,농심홀딩스,94500.0
058730,다스코,3255.0
030210,다올투자증권,3530.0
023590,다우기술,36800.0
145210,다이나믹디자인,912.0
483650,달바글로벌,130000.0
019680,대교,1906.0
019685,대교우B,1221.0
006370,대구백화점,6030.0
008060,대덕,10750.0
00806K,대덕1우,9470.0
353200,대덕전자,46550.0
35320K,대덕전자1우,14650.0
000490,대동,9510.0
