구분,순위,code,name,close,chg_pct,amount_eok,volume,cap_eok
거래량,2,067290,JW신약,2300.0,9.52,791.5,32955986,1288.9
거래량,3,288980,모아데이타,330.0,5.77,113.9,32462883,120.1
거래량,4,001210,금호전기,12480.0,16.85,3414.5,27492764,1544.5
거래량,5,004770,써니전자,2370.0,21.85,448.6,18891253,841.5
거래량,6,002990,금호건설,16460.0,-3.29,3195.5,18423582,6133.0
거래량,7,005930,삼성전자,260000.0,1.17,46470.4,18270969,15200324.4
거래량,8,028300,HLB,35600.0,-1.11,5208.7,14616441,47418.6
거래량,9,024840,KBI메탈,5940.0,3.3,640.1,10625718,2571.5
거래량,10,032940,원익,8000.0,19.4,781.4,10028357,1455.5
거래량,11,256840,한국비엔씨,2650.0,9.96,269.9,9876871,1812.5
거래량,12,299660,셀리드,2740.0,27.15,242.4,9615217,808.4
거래량,13,443670,에스피소프트,3740.0,-1.06,286.1,7201535,898.0
거래량,14,225190,LK삼양,1010.0,29.99,64.1,6558619,711.7
거래량,15,476060,온코닉테라퓨틱스,18030.0,22.07,1120.9,6389230,8187.0
거래량,16,004310,현대약품,6380.0,3.57,410.1,6218747,2041.6
거래량,17,069540,빛과전자,2835.0,-3.24,165.7,5819069,3194.8
거래량,18,387690,레메디,14560.0,14.2,811.6,5669766,1110.3
거래량,19,047050,포스코인터내셔널,53700.0,1.9,2944.5,5489357,94470.5
거래량,20,047040,대우건설,18190.0,-7.62,964.1,5271085,74744.1
거래량,21,010170,대한광통신,13960.0,-2.45,676.8,4898650,21705.8
거래량,22,088350,한화생명,5770.0,-3.03,285.5,4882780,50114.2
거래량,23,079650,서산,5210.0,2.76,261.5,4864732,1042.0
거래량,24,417010,나노팀,6990.0,7.7,307.3,4265868,1410.1
거래량,25,003280,흥아해운,1700.0,-1.16,72.9,4262510,4087.2
거래량,26,033790,피노,7850.0,16.3,312.5,4228993,6540.8
거래량,27,228340,동양파일,3105.0,8.95,130.6,3981453,621.0
거래량,28,000660,SK하이닉스,1674000.0,1.27,65175.6,3980661,12228442.2
거래량,29,041190,우리기술투자,6060.0,-6.63,229.7,3836964,5090.4
거래량,30,019170,신풍제약,10410.0,3.17,415.6,3703354,5456.8
거래량,31,005935,삼성전자우,186500.0,-0.16,6706.5,3633519,1496422.3
거래량,32,198440,강동씨앤엘,1736.0,29.94,56.4,3547054,1057.8
거래량,33,034020,두산에너빌리티,82500.0,-6.46,2912.9,3507575,528462.9
거래량,34,062970,한국첨단소재,2110.0,-5.59,82.4,3466885,602.3
거래량,35,316140,우리금융지주,33800.0,-0.29,1115.2,3299430,249033.9
거래량,36,332570,PS일렉트로닉스,7570.0,4.85,245.3,3282251,3536.1
거래량,37,073240,금호타이어,7360.0,0.0,237.6,3232618,21142.4
거래량,38,900300,오가닉티코스메틱,4220.0,15.14,136.8,3210857,868.5
거래량,39,950260,인제니아테라퓨틱스(Reg.S),17640.0,-2.0,571.3,3170612,8722.0
거래량,40,030530,원익홀딩스,18780.0,-1.57,569.8,3067199,14505.3
