구분,순위,code,name,close,chg_pct,amount_eok,volume,cap_eok,공시
거래대금,1,000660,SK하이닉스,1745000.0,-0.8,49178.3,2803398,12747091.8,
거래대금,2,005930,삼성전자,252500.0,-0.39,30047.8,11827514,14761853.5,
거래대금,3,005935,삼성전자우,193300.0,-0.67,6967.4,3587451,1550983.5,
거래대금,4,009150,삼성전기,1330000.0,-3.69,5803.9,429168,993426.2,
거래대금,5,251270,넷마블,34150.0,0.0,3769.2,11237286,28398.6,
거래대금,6,010170,대한광통신,16130.0,0.19,3731.1,22966293,25079.8,
거래대금,7,402340,SK스퀘어,1008000.0,-1.18,3423.6,336217,1329793.9,
거래대금,8,201490,미투온,4635.0,20.7,3385.1,75950952,1516.7,최대주주변경을수반하는주식양수도계약체결 | 주식등의대량보유상황보고서(일반)
거래대금,9,043260,성호전자,21600.0,16.38,3184.9,14763339,16297.6,
거래대금,10,000150,두산,1405000.0,1.3,2801.4,194771,227523.4,
거래대금,11,004310,현대약품,10500.0,5.32,1866.9,17058943,3360.0,
거래대금,12,012450,한화에어로스페이스,1097000.0,3.98,1854.1,169232,565650.5,
거래대금,13,457370,한켐,12640.0,29.91,1706.2,15274807,1019.7,
거래대금,14,036930,주성엔지니어링,204000.0,0.99,1642.1,800380,94821.5,
거래대금,15,105560,KB금융,179200.0,1.41,1629.0,907943,635600.4,
거래대금,16,034020,두산에너빌리티,85400.0,1.91,1495.5,1747314,547039.2,
거래대금,17,347700,스피어,23750.0,16.71,1355.0,5876594,12243.4,[기재정정]단일판매ㆍ공급계약체결
거래대금,18,005380,현대차,363000.0,0.28,1352.8,374225,743270.7,
거래대금,19,329180,HD현대중공업,469500.0,6.58,1305.0,278969,492793.0,
거래대금,20,067310,하나마이크론,37600.0,7.58,1257.3,3318002,25000.6,
거래대금,21,035420,NAVER,199000.0,-1.24,1159.1,579237,302667.8,
거래대금,22,082740,한화엔진,53000.0,10.3,1117.5,2133515,44227.0,
거래대금,23,027360,아주IB투자,3855.0,10.14,1045.3,27191260,4670.2,
거래대금,24,272210,한화시스템,77500.0,12.65,1044.9,1369632,146412.5,
거래대금,25,012330,현대모비스,381000.0,-0.52,1025.7,268415,342216.4,
거래대금,26,006400,삼성SDI,539000.0,-0.92,1025.1,189730,434356.0,
