구분,순위,code,name,close,chg_pct,amount_eok,volume,cap_eok,공시
거래대금,1,000660,SK하이닉스,1840000.0,-1.5,61714.7,3271767,13441059.5,
거래대금,2,005930,삼성전자,276500.0,0.91,50668.7,18157410,16164960.4,
거래대금,3,009150,삼성전기,1486000.0,3.99,13676.8,908255,1109948.3,
거래대금,4,005935,삼성전자우,211500.0,1.68,11450.4,5382337,1697015.1,
거래대금,5,402340,SK스퀘어,1133000.0,0.53,6746.3,585196,1494698.9,
거래대금,6,0161M0,네오사피엔스,30750.0,-10.35,4688.4,13497922,3756.4,
거래대금,7,066570,LG전자,216500.0,6.91,3504.5,1625088,352645.2,
거래대금,8,353200,대덕전자,112300.0,10.21,3338.5,2888270,55495.2,
거래대금,9,012210,삼미금속,13540.0,21.76,3061.9,23219113,3121.2,
거래대금,10,001440,대한전선,31600.0,6.4,2972.3,9221371,61933.7,
거래대금,11,222800,심텍,148100.0,13.31,2806.0,1870126,56995.6,
거래대금,12,052690,한전기술,138100.0,6.56,2748.9,2023424,52781.8,
거래대금,13,034020,두산에너빌리티,86500.0,1.41,2611.1,3019059,554085.4,
거래대금,14,003490,대한항공,31400.0,8.84,2252.8,7326416,115621.3,
거래대금,15,001820,삼화콘덴서,147400.0,0.96,2150.4,1426070,15322.2,
거래대금,16,007810,코리아써키트,65600.0,25.43,1954.0,2974905,15732.6,
거래대금,17,010170,대한광통신,17810.0,0.51,1926.9,10766623,27692.0,
거래대금,18,036930,주성엔지니어링,203500.0,-0.97,1846.4,894576,94589.1,
거래대금,19,240810,원익IPS,130300.0,1.01,1788.1,1374677,63956.3,
거래대금,20,067310,하나마이크론,45650.0,1.9,1767.0,3844529,30353.1,
거래대금,21,047040,대우건설,18800.0,2.79,1736.6,9155369,77250.6,
거래대금,22,005380,현대차,360500.0,0.42,1666.8,457837,733496.7,
거래대금,23,036540,SFA반도체,10620.0,0.66,1609.2,15069092,17465.7,
거래대금,24,043260,성호전자,26950.0,0.37,1502.9,5476915,20334.3,
거래대금,25,000500,가온전선,321500.0,0.94,1407.8,423015,95735.0,
거래대금,26,000720,현대건설,131300.0,4.54,1343.3,1023754,146210.1,
거래대금,27,058470,리노공업,75000.0,7.45,1335.7,1795192,57158.9,
거래대금,28,000150,두산,1473000.0,2.86,1313.5,88725,238535.2,
거래대금,29,042700,한미반도체,240000.0,1.48,1302.1,539012,228749.3,
거래대금,30,011070,LG이노텍,542000.0,4.43,1232.4,225118,128275.7,
거래대금,31,105560,KB금융,175700.0,-1.01,1205.8,686118,623186.3,
거래대금,32,007660,이수페타시스,112900.0,2.36,1184.3,1026184,82879.0,
거래대금,33,386380,스카이랩스,23950.0,-5.15,1180.5,4740256,4493.5,
거래대금,34,232140,와이씨,14310.0,0.42,1165.7,7897833,11740.7,
거래대금,35,950260,인제니아테라퓨틱스(Reg.S),23450.0,9.07,1162.6,5185167,11594.8,
거래대금,36,080220,제주반도체,75600.0,0.53,1121.3,1444233,26038.8,
거래대금,37,006400,삼성SDI,529000.0,-0.75,1111.7,209039,426297.5,
거래대금,38,356860,티엘비,44500.0,16.8,1102.2,2484354,10547.1,
거래대금,39,006340,대원전선,13660.0,0.89,1054.5,7439697,10711.4,
거래대금,40,298040,효성중공업,2901000.0,-0.55,1022.5,34643,270505.1,
상승률,1,393210,토마토시스템,3315.0,30.0,137.9,4435367,517.6,임원ㆍ주요주주특정증권등소유상황보고서
상승률,2,303810,동국생명과학,3035.0,29.98,404.7,14286739,970.7,
상승률,3,486990,노타,22550.0,29.97,526.5,2447794,4824.0,
상승률,4,299660,셀리드,2885.0,29.95,55.1,1991482,851.2,주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정)
상승률,5,299170,더블유에스아이,1545.0,29.94,58.2,3851327,641.3,
상승률,6,007810,코리아써키트,65600.0,25.43,1954.0,2974905,15732.6,
상승률,7,012210,삼미금속,13540.0,21.76,3061.9,23219113,3121.2,
상승률,8,0007J0,인벤테라,13800.0,18.86,382.7,2771404,1085.5,투자판단관련주요경영사항(임상시험결과)              (자기공명 관절조영술(MRA) 특화 조영제 INV-002(NEMO-103주)의 제3상 임상시험결과)
상승률,9,356860,티엘비,44500.0,16.8,1102.2,2484354,10547.1,
상승률,10,049470,비트플래닛,3180.0,15.43,145.2,4410725,748.7,
상승률,11,493280,아이엠바이오로직스,15920.0,14.53,73.4,478429,2362.0,
상승률,12,052710,아모텍,19350.0,14.5,539.6,2837584,3614.7,
상승률,13,051370,인터플렉스,7130.0,13.9,169.9,2331316,1663.2,
상승률,14,439580,블루엠텍,3120.0,13.87,283.6,8973030,1056.0,
상승률,15,005160,동국산업,3680.0,13.58,461.3,12346663,1996.2,
상승률,16,222800,심텍,148100.0,13.31,2806.0,1870126,56995.6,
상승률,17,085910,네오티스,15960.0,13.11,125.0,781638,2201.7,
상승률,18,059090,미코,22600.0,13.11,341.6,1556517,7552.2,
상승률,19,009580,무림P&P,1815.0,11.28,229.5,11874644,1132.0,
상승률,20,425420,티에프이,64400.0,10.65,350.0,538357,7951.6,
상승률,21,440110,파두,72300.0,10.38,454.9,638496,36230.3,
상승률,22,353200,대덕전자,112300.0,10.21,3338.5,2888270,55495.2,
상승률,23,064290,인텍플러스,55600.0,9.45,388.8,695711,7204.4,
상승률,24,950260,인제니아테라퓨틱스(Reg.S),23450.0,9.07,1162.6,5185167,11594.8,
상승률,25,003490,대한항공,31400.0,8.84,2252.8,7326416,115621.3,
상승률,26,420770,기가비스,119500.0,8.74,441.4,376016,15147.5,
상승률,27,0007C0,아크릴,20650.0,8.34,331.0,1509486,1658.3,
상승률,28,452430,사피엔반도체,41050.0,8.03,68.6,166144,3388.9,
상승률,29,036570,NC,223000.0,7.99,287.4,131544,48043.2,
상승률,30,071090,하이스틸,3530.0,7.95,229.1,6382775,712.8,
상승률,31,340450,지씨지놈,7290.0,7.68,58.4,808005,1724.1,
상승률,32,058470,리노공업,75000.0,7.45,1335.7,1795192,57158.9,
상승률,33,020000,한섬,19920.0,7.33,70.3,353277,4278.2,
상승률,34,098070,한텍,26100.0,7.19,85.8,330338,2902.6,
상승률,35,053610,프로텍,73200.0,7.02,72.4,97497,6588.0,
상승률,36,066570,LG전자,216500.0,6.91,3504.5,1625088,352645.2,
상승률,37,307950,현대오토에버,385000.0,6.65,487.1,125630,105582.3,
상승률,38,052690,한전기술,138100.0,6.56,2748.9,2023424,52781.8,
상승률,39,033160,엠케이전자,15680.0,6.45,347.0,2188127,3851.6,
상승률,40,084370,유진테크,149400.0,6.41,224.5,151003,34236.6,
거래량,1,012210,삼미금속,13540.0,21.76,3061.9,23219113,3121.2,
거래량,2,005930,삼성전자,276500.0,0.91,50668.7,18157410,16164960.4,
거래량,3,036540,SFA반도체,10620.0,0.66,1609.2,15069092,17465.7,
거래량,4,303810,동국생명과학,3035.0,29.98,404.7,14286739,970.7,
거래량,5,0161M0,네오사피엔스,30750.0,-10.35,4688.4,13497922,3756.4,
거래량,6,005160,동국산업,3680.0,13.58,461.3,12346663,1996.2,
거래량,7,321370,센서뷰,1727.0,2.01,210.7,11911067,1219.6,
거래량,8,009580,무림P&P,1815.0,11.28,229.5,11874644,1132.0,
거래량,9,041190,우리기술투자,5980.0,2.05,727.7,11535793,4772.0,
거래량,10,010170,대한광통신,17810.0,0.51,1926.9,10766623,27692.0,
거래량,11,001440,대한전선,31600.0,6.4,2972.3,9221371,61933.7,
거래량,12,047040,대우건설,18800.0,2.79,1736.6,9155369,77250.6,
거래량,13,439580,블루엠텍,3120.0,13.87,283.6,8973030,1056.0,
거래량,14,024840,KBI메탈,6430.0,1.9,573.8,8529670,2794.9,
거래량,15,419050,삼기에너지솔루션즈,1603.0,5.18,137.0,8027349,916.9,
거래량,16,232140,와이씨,14310.0,0.42,1165.7,7897833,11740.7,
거래량,17,006340,대원전선,13660.0,0.89,1054.5,7439697,10711.4,
거래량,18,003490,대한항공,31400.0,8.84,2252.8,7326416,115621.3,
거래량,19,071090,하이스틸,3530.0,7.95,229.1,6382775,712.8,
거래량,20,032820,우리기술,13420.0,0.15,761.1,5641883,23187.7,
