code,name,market,close,chg,amount_eok,cap_eok,turnover_pct
005930,삼성전자,KOSPI,179700.0,-0.22,51187.002195,10637589.345834,0.48
000660,SK하이닉스,KOSPI,922000.0,-1.18,40889.126096,6571115.8053,0.62
122630,KODEX 레버리지,ETF,77690.0,-1.03,19121.00268239,50110.05,38.16
252670,KODEX 200선물인버스2X,ETF,278.0,0.72,16225.24828098,13737.926,118.11
069500,KODEX 200,ETF,81225.0,-0.46,12836.986756,166389.4125,7.72
0130H0,엔에이치스팩33호,KOSDAQ,2660.0,33.0,10007.96983788,204.82,4886.23
047040,대우건설,KOSPI,17260.0,8.55,9154.72658435,71736.4673188,12.76
100790,미래에셋벤처투자,KOSDAQ,32550.0,15.22,7110.81422825,17292.068367,41.12
114800,KODEX 인버스,ETF,1703.0,0.47,6968.67525551,10321.883,67.51
233740,KODEX 코스닥150레버리지,ETF,16930.0,1.62,6856.9262403,44339.67,15.46
062040,산일전기,KOSPI,149300.0,-11.45,6250.4103705,45603.9836,13.71
396500,TIGER 반도체TOP10,ETF,31450.0,-0.29,6239.45852667,85150.875,7.33
091160,KODEX 반도체,ETF,95450.0,-0.56,5736.18815338,39945.825,14.36
005380,현대차,KOSPI,495000.0,1.02,5568.0729075,1013550.9417,0.55
032820,우리기술,KOSDAQ,23400.0,-2.5,5172.957219,40036.529988,12.92
263750,펄어비스,KOSDAQ,58800.0,15.75,4893.1801835,37777.73874,12.95
229200,KODEX 코스닥150,ETF,19830.0,0.41,4738.08937648,71556.555,6.62
005935,삼성전자우,KOSPI,126200.0,-0.08,4369.8005325,1029760.025968,0.42
459580,KODEX CD금리액티브(합성),ETF,1075530.0,0.01,3841.61366925,81436.98054,4.72
102110,TIGER 200,ETF,81190.0,-0.6,3717.71164001,69417.45,5.36
494310,KODEX 반도체레버리지,ETF,62575.0,-0.97,3703.92487368,10825.475,34.21
034020,두산에너빌리티,KOSPI,98100.0,-2.78,3443.553837,628390.484226,0.55
402340,SK스퀘어,KOSPI,544000.0,-2.51,3311.2088,718553.9056,0.46
038110,에코플라스틱,KOSDAQ,4085.0,-3.43,3295.22342847,1681.7687645,195.94
009150,삼성전기,KOSPI,434000.0,-5.03,2993.97337,324170.64064,0.92
066970,엘앤에프,KOSPI,155300.0,7.47,2879.135276,62619.696386,4.6
488080,TIGER 반도체TOP10레버리지,ETF,38050.0,-0.94,2750.86275022,12328.2,22.31
012450,한화에어로스페이스,KOSPI,1335000.0,-2.48,2706.776945,688371.40335,0.39
006400,삼성SDI,KOSPI,405500.0,2.27,2598.2492675,326774.32415,0.8
115440,우리넷,KOSDAQ,13790.0,7.23,2349.61985265,1488.5328668,157.85
000250,삼천당제약,KOSDAQ,1111000.0,-4.06,2216.184385,260612.51392,0.85
086520,에코프로,KOSDAQ,149000.0,2.05,2137.8587125,202306.46648,1.06
010170,대한광통신,KOSDAQ,9300.0,0.0,2124.9774115,14460.16638,14.7
079550,LIG넥스원,KOSPI,735000.0,0.0,2108.86192,161700.0,1.3
027360,아주IB투자,KOSDAQ,9240.0,3.59,2082.8558858,11193.8355144,18.61
042700,한미반도체,KOSPI,275500.0,-0.9,2073.08154,262585.111,0.79
148020,RISE 200,ETF,81945.0,-0.36,2014.08931754,30360.6225,6.63
006800,미래에셋증권,KOSPI,67100.0,2.76,1939.520029,372617.309768,0.52
009830,한화솔루션,KOSPI,35650.0,-3.13,1917.645881,61279.689084,3.13
046970,우리로,KOSDAQ,7720.0,29.97,1893.21760885,3383.2899228,55.96
379800,KODEX 미국S&P500,ETF,22320.0,-0.62,1866.26334993,78811.92,2.37
105560,KB금융,KOSPI,152200.0,0.0,1835.113147,567478.39251,0.32
028260,삼성물산,KOSPI,269000.0,-3.24,1810.030865,457236.90336,0.4
298040,효성중공업,KOSPI,2676000.0,-6.43,1757.89633,249524.90448,0.7
487240,KODEX AI전력핵심설비,ETF,31950.0,-4.38,1721.98157901,18403.2,9.36
000720,현대건설,KOSPI,149800.0,-1.71,1681.4068785,166810.93597,1.01
033790,피노,KOSDAQ,7250.0,1.83,1608.9005954,4932.7057725,32.62
950160,코오롱티슈진,KOSDAQ,127000.0,6.01,1573.711149,105735.54545,1.49
014160,대영포장,KOSPI,1300.0,-7.74,1566.64487891,1409.129137,111.18
360750,TIGER 미국S&P500,ETF,24420.0,-0.65,1563.33014042,147997.41,1.06
251340,KODEX 코스닥150선물인버스,ETF,2035.0,-0.49,1549.03030032,1990.23,77.83
196170,알테오젠,KOSDAQ,381000.0,0.0,1548.326385,203963.94183,0.76
267260,HD현대일렉트릭,KOSPI,915000.0,-5.18,1493.88811,329831.28525,0.45
011070,LG이노텍,KOSPI,320500.0,5.78,1456.949335,75853.077935,1.92
373220,LG에너지솔루션,KOSPI,394500.0,2.6,1431.6697025,923130.0,0.16
450080,에코프로머티,KOSPI,73400.0,5.01,1410.99688,51790.125436,2.72
272210,한화시스템,KOSPI,124100.0,-4.32,1354.9290295,234448.961749,0.58
010120,LS ELECTRIC,KOSPI,801000.0,-3.96,1350.21369,240300.0,0.56
462330,KODEX 2차전지산업레버리지,ETF,1684.0,4.4,1315.93424944,7546.004,17.44
498400,KODEX 200타겟위클리커버드콜,ETF,16925.0,-0.44,1284.99558036,35660.975,3.6
069540,빛과전자,KOSDAQ,3140.0,3.12,1280.4665271,3064.8772898,41.78
000270,기아,KOSPI,155800.0,0.71,1275.8970015,608263.450884,0.21
050890,쏠리드,KOSDAQ,14070.0,-1.88,1263.6549215,8548.4443338,14.78
379810,KODEX 미국나스닥100,ETF,23795.0,-1.22,1263.44700777,56001.5325,2.26
055550,신한지주,KOSPI,93500.0,0.11,1258.146835,443801.827535,0.28
024060,흥구석유,KOSDAQ,19930.0,-5.1,1241.09436265,2989.5,41.52
0088M0,메쥬,KOSDAQ,40300.0,3.33,1234.77091325,3916.25325,31.53
108860,셀바스AI,KOSDAQ,15840.0,-5.43,1222.1432044,4263.302736,28.67
012330,현대모비스,KOSPI,408500.0,2.51,1201.8042875,370642.601555,0.32
015760,한국전력,KOSPI,43900.0,-4.57,1192.73278525,281822.229803,0.42
277810,레인보우로보틱스,KOSDAQ,567000.0,1.61,1138.15517,109997.19486,1.03
178320,서진시스템,KOSDAQ,43350.0,-6.37,1136.18993975,25476.866961,4.46
329180,HD현대중공업,KOSPI,498500.0,-2.45,1116.889325,523231.706625,0.21
475630,TIGER CD1년금리액티브(합성),ETF,1062395.0,0.01,1102.81685409,15993.29433,6.9
353200,대덕전자,KOSPI,85400.0,-2.62,1086.3720565,42202.05395,2.57
305720,KODEX 2차전지산업,ETF,16870.0,1.23,1083.79205651,19164.32,5.66
472150,TIGER 배당커버드콜액티브,ETF,17095.0,-0.2,1069.72056565,8718.45,12.27
003280,흥아해운,KOSPI,2950.0,-7.96,1014.31699199,7092.5345205,14.3
042660,한화오션,KOSPI,123200.0,-1.99,1003.6170545,377501.301408,0.27
247540,에코프로비엠,KOSDAQ,202500.0,1.81,987.320972,198106.62885,0.5
017900,광전자,KOSPI,3250.0,2.36,984.61634439,1883.1722975,52.28
003000,부광약품,KOSPI,9600.0,2.89,973.4697299,9471.808416,10.28
375500,DL이앤씨,KOSPI,65800.0,-0.9,961.7349855,25460.403934,3.78
000150,두산,KOSPI,1203000.0,-2.91,961.14039,194811.83505,0.49
007660,이수페타시스,KOSPI,110500.0,-3.91,959.0660885,81117.186995,1.18
068270,셀트리온,KOSPI,206000.0,1.48,952.786078,475959.41766,0.2
403870,HPSP,KOSDAQ,45150.0,-1.1,937.58124825,37158.45,2.52
005490,POSCO홀딩스,KOSPI,343000.0,0.15,927.526605,277600.02536,0.33
086790,하나금융지주,KOSPI,110400.0,1.47,924.751201,307271.698656,0.3
035420,NAVER,KOSPI,212500.0,0.47,922.040265,333311.85575,0.28
001510,SK증권,KOSPI,2070.0,-0.96,920.45200419,9782.6165397,9.41
241520,DSC인베스트먼트,KOSDAQ,14960.0,10.73,915.3081831,4039.2,22.66
003670,포스코퓨처엠,KOSPI,209000.0,4.5,912.647535,185897.5998,0.49
047810,한국항공우주,KOSPI,186500.0,-0.8,860.4295905,181791.074555,0.47
141080,리가켐바이오,KOSDAQ,213500.0,3.39,857.3418975,78163.07163,1.1
000810,삼성화재,KOSPI,443000.0,-2.21,843.0868525,203829.41665,0.41
292150,TIGER 코리아TOP10,ETF,29105.0,-0.5,841.15343763,22425.4025,3.75
340440,세림B&G,KOSDAQ,2260.0,4.63,831.40378754,641.3510264,129.63
037030,파워넷,KOSDAQ,5250.0,29.79,831.12892768,1339.43208,62.05
010140,삼성중공업,KOSPI,26000.0,-1.33,822.2305755,228800.0,0.36
009540,HD한국조선해양,KOSPI,367000.0,-2.13,820.3131475,259737.33572,0.32
064350,현대로템,KOSPI,184200.0,-2.95,813.3291645,201040.103706,0.4
036930,주성엔지니어링,KOSDAQ,70000.0,-1.82,799.7210275,32536.7847,2.46
475150,SK이터닉스,KOSPI,52400.0,-2.6,769.224489,17687.118008,4.35
051910,LG화학,KOSPI,313000.0,-0.32,738.217905,220954.03359,0.33
278470,에이피알,KOSPI,327000.0,5.48,721.43047,122422.76685,0.59
047050,포스코인터내셔널,KOSPI,74500.0,-4.73,720.943865,131062.47706,0.55
237350,KODEX 코스피100,ETF,64020.0,-0.62,709.88764196,6818.13,10.41
402490,그린리소스,KOSDAQ,15410.0,16.21,696.8435852,2552.7417008,27.3
488770,KODEX 머니마켓액티브,ETF,103935.0,0.03,692.79808589,78836.7762,0.88
131970,두산테스나,KOSDAQ,108300.0,8.3,686.787467,20931.398754,3.28
032830,삼성생명,KOSPI,223000.0,0.45,684.18985,446000.0,0.15
003230,삼양식품,KOSPI,1183000.0,-0.42,682.61932,89115.56745,0.77
133690,TIGER 미국나스닥100,ETF,158760.0,-1.27,678.65764815,78602.076,0.86
466920,SOL 조선TOP3플러스,ETF,33260.0,-2.0,674.34102118,17794.1,3.79
298380,에이비엘바이오,KOSDAQ,180100.0,0.11,669.573824,100833.420863,0.66
226950,올릭스,KOSDAQ,200500.0,0.25,669.2746745,40702.668915,1.64
038500,삼표시멘트,KOSDAQ,16390.0,-4.88,666.43100585,17687.4825534,3.77
440110,파두,KOSDAQ,52400.0,2.34,665.06102075,26205.521388,2.54
0091P0,TIGER 코리아원자력,ETF,21040.0,-1.17,664.18915265,7595.44,8.74
217730,강스템바이오텍,KOSDAQ,3585.0,29.89,662.07198527,3371.84124165,19.64
091230,TIGER 반도체,ETF,100430.0,-0.92,660.59753428,8496.378,7.78
476830,알지노믹스,KOSDAQ,230500.0,1.54,660.4397025,32117.50581,2.06
395270,HANARO Fn K-반도체,ETF,32985.0,-1.06,658.58425346,16690.41,3.95
017670,SK텔레콤,KOSPI,79900.0,-0.13,650.3260995,171617.252347,0.38
259960,크래프톤,KOSPI,254500.0,5.38,647.209725,120648.501595,0.54
067310,하나마이크론,KOSDAQ,31100.0,-4.6,641.40480175,20660.826586,3.1
102970,KODEX 증권,ETF,26745.0,2.81,640.45624684,10390.4325,6.16
0117V0,TIGER 코리아AI전력기기TOP3플러스,ETF,17260.0,-4.35,639.10958937,5885.66,10.86
395160,KODEX AI반도체,ETF,26230.0,-0.34,637.28300898,20302.02,3.14
0098F0,KODEX 원자력SMR,ETF,19480.0,-2.26,635.90062497,3087.58,20.6
352820,하이브,KOSPI,307000.0,0.99,635.3614875,132218.28722,0.48
049080,기가레인,KOSDAQ,1079.0,30.0,617.1451988,915.89131413,67.38
037230,한국팩키지,KOSDAQ,2625.0,-10.56,616.82944056,782.25858375,78.85
062970,한국첨단소재,KOSDAQ,3060.0,-4.08,610.72306734,705.6077256,86.55
001440,대한전선,KOSPI,28250.0,-2.59,610.60814325,52671.36225,1.16
035720,카카오,KOSPI,48800.0,0.31,610.24342525,216070.016864,0.28
066570,LG전자,KOSPI,112000.0,-0.88,607.3772985,182432.75344,0.33
0167A0,SOL AI반도체TOP2플러스,ETF,9890.0,-1.69,604.51066544,2314.26,26.12
008770,호텔신라,KOSPI,47450.0,13.11,604.015175,18623.2334145,3.24
489790,한화비전,KOSPI,80500.0,-3.36,598.857803,40643.15395,1.47
0080G0,KODEX 방산TOP10,ETF,13685.0,-1.62,585.92420839,4926.6,11.89
455850,SOL AI반도체소부장,ETF,25340.0,-1.11,584.51893944,10376.73,5.63
0004V0,엔비알모션,KOSDAQ,21400.0,-2.95,577.2602565,2226.556152,25.93
060280,큐렉소,KOSDAQ,17460.0,1.16,577.095537,7174.312254,8.04
347700,스피어,KOSDAQ,50900.0,1.6,576.4319085,25104.230192,2.3
289080,SV인베스트먼트,KOSDAQ,4550.0,30.0,575.2028828,2471.392651,23.27
475580,에이럭스,KOSDAQ,14000.0,13.73,573.5434944,1907.486,30.07
028050,삼성E&A,KOSPI,33100.0,0.61,573.385494,64876.0,0.88
381180,TIGER 미국필라델피아반도체나스닥,ETF,30390.0,-2.66,572.44958407,35222.01,1.63
449450,PLUS K방산,ETF,71500.0,-1.6,572.19946093,17052.75,3.36
005830,DB손해보험,KOSPI,172900.0,-1.71,569.20630329,119964.936,0.47
089030,테크윙,KOSDAQ,52000.0,0.39,560.506984,19267.8954,2.91
278530,KODEX 200TR,ETF,29235.0,-0.39,559.91309884,55692.675,1.01
003490,대한항공,KOSPI,25300.0,1.4,556.223056,93159.827233,0.6
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,ETF,9875.0,-0.3,553.6147544,6645.875,8.33
