code,name,market,close,chg,amount_eok,cap_eok,turnover_pct
000660,SK하이닉스,KOSPI,577000.0,6.07,23860.49841,4200573.64605,0.57
086520,에코프로,KOSDAQ,117500.0,21.26,21957.4661785,159536.9786,13.76
005930,삼성전자,KOSPI,109500.0,1.01,16970.9221775,6482003.52459,0.26
122630,KODEX 레버리지,ETF,45135.0,2.67,9047.21276516,33964.0875,26.64
069500,KODEX 200,ETF,59020.0,1.34,7088.01136977,115207.04,6.15
005380,현대차,KOSPI,315500.0,0.16,6000.65525996,646010.75173,0.93
034020,두산에너빌리티,KOSPI,76800.0,-4.48,4479.02163,491950.960128,0.91
0009K0,에임드바이오,KOSDAQ,48550.0,-15.12,4252.67487625,31147.8161655,13.65
252670,KODEX 200선물인버스2X,ETF,661.0,-2.51,4073.34478049,14460.697,28.17
0126Z0,삼성에피스홀딩스,KOSPI,515000.0,0.0,3540.151905,128147.70235,2.76
466100,클로봇,KOSDAQ,46100.0,8.73,3427.3217285,11521.376079,29.75
347850,디앤디파마텍,KOSDAQ,83000.0,-13.45,3100.9838715,36042.97908,8.6
000720,현대건설,KOSPI,74100.0,-1.33,3027.5041115,82514.621865,3.67
247540,에코프로비엠,KOSDAQ,173300.0,8.52,2794.5597855,169489.729152,1.65
007660,이수페타시스,KOSPI,141700.0,4.81,2692.7989255,104020.863323,2.59
196170,알테오젠,KOSDAQ,458000.0,0.33,2666.4844425,245056.50904,1.09
373220,LG에너지솔루션,KOSPI,451500.0,5.99,2636.66786,1056510.0,0.25
108490,로보티즈,KOSDAQ,287500.0,1.59,2622.64687,41889.003,6.26
233740,KODEX 코스닥150레버리지,ETF,12255.0,2.34,2498.71167938,18308.97,13.65
030530,원익홀딩스,KOSDAQ,29500.0,4.06,2488.939869,22785.204395,10.92
450140,코오롱모빌리티그룹,KOSPI,15480.0,6.25,2324.06561095,9717.9183,23.92
092200,디아이씨,KOSPI,12840.0,14.95,2319.18366005,4993.2922596,46.45
459580,KODEX CD금리액티브(합성),ETF,1074030.0,0.01,2269.73164399,86144.72421,2.63
102110,TIGER 200,ETF,59065.0,1.36,2238.5576295,45184.725,4.95
