code,name,market,close,chg,amount_eok,cap_eok,turnover_pct
000660,SK하이닉스,KOSPI,1941000.0,0.05,60747.2241917,13833552.90465,0.44
005930,삼성전자,KOSPI,292500.0,-2.34,54159.99876319,17100364.9284,0.32
069500,KODEX 200,ETF,123350.0,0.24,22286.55072864,267546.15,8.33
122630,KODEX 레버리지,ETF,171400.0,0.43,21287.09751512,98383.6,21.64
009150,삼성전기,KOSPI,1340000.0,11.3,17717.18155512,1000895.5264,1.77
036930,주성엔지니어링,KOSDAQ,224000.0,20.95,14011.8781825,104117.71104,13.46
233740,KODEX 코스닥150레버리지,ETF,16135.0,12.99,11864.40396821,40660.2,29.18
066570,LG전자,KOSPI,237000.0,0.85,9811.6362325,386036.59206,2.54
402340,SK스퀘어,KOSPI,1185000.0,0.51,9219.80592175,1563706.8741,0.59
036540,SFA반도체,KOSDAQ,10250.0,14.53,7136.22640145,16857.1810575,42.33
229200,KODEX 코스닥150,ETF,19780.0,6.37,6712.17330816,53514.79,12.54
080220,제주반도체,KOSDAQ,118700.0,0.76,6667.5772485,40883.642771,16.31
005380,현대차,KOSPI,655000.0,-1.65,6521.78803,1341163.3673,0.49
102110,TIGER 200,ETF,123440.0,0.27,6372.90776778,107269.36,5.94
012330,현대모비스,KOSPI,646000.0,-3.58,6368.16864,586132.48618,1.09
091160,KODEX 반도체,ETF,155500.0,0.45,6163.0650164,74406.75,8.28
477850,마키나락스,KOSDAQ,54600.0,-30.0,6041.457887,9577.73544,63.08
005935,삼성전자우,KOSPI,187500.0,-0.16,5776.0220235,1504446.005625,0.38
494310,KODEX 반도체레버리지,ETF,153320.0,1.28,5767.48191422,29974.06,19.24
396500,TIGER 반도체TOP10,ETF,48000.0,-0.82,5530.83458266,139968.0,3.95
086520,에코프로,KOSDAQ,146500.0,12.87,5447.836797,198912.06268,2.74
379800,KODEX 미국S&P500,ETF,25615.0,1.27,5076.53212779,95300.6075,5.33
0167A0,SOL AI반도체TOP2플러스,ETF,19980.0,2.33,4897.5927087,30519.45,16.05
114800,KODEX 인버스,ETF,1067.0,-0.09,4459.28111646,9677.69,46.08
360750,TIGER 미국S&P500,ETF,28100.0,1.28,4420.93059749,184097.15,2.4
006400,삼성SDI,KOSPI,647000.0,5.03,4204.28048,521388.3791,0.81
010170,대한광통신,KOSDAQ,24300.0,5.19,4011.8819605,37783.01538,10.62
252670,KODEX 200선물인버스2X,ETF,102.0,-0.97,3976.56259791,11257.74,35.32
395270,HANARO Fn K-반도체,ETF,61955.0,2.81,3975.56279724,36615.405,10.86
459580,KODEX CD금리액티브(합성),ETF,1075530.0,0.01,3826.94093009,77887.73154,4.91
487240,KODEX AI전력핵심설비,ETF,55090.0,1.53,3712.9730519,46936.68,7.91
395160,KODEX AI반도체TOP2플러스,ETF,42900.0,3.05,3410.07910416,29429.4,11.59
034020,두산에너빌리티,KOSPI,111600.0,2.95,3282.631235,714866.238936,0.46
440110,파두,KOSDAQ,128300.0,9.94,2931.5828165,64274.229041,4.56
050890,쏠리드,KOSDAQ,18130.0,15.18,2873.36627365,11015.1596142,26.09
010120,LS ELECTRIC,KOSPI,281000.0,3.5,2851.7167975,421500.0,0.68
012450,한화에어로스페이스,KOSPI,1261000.0,1.04,2801.14151988,650214.48661,0.43
196170,알테오젠,KOSDAQ,364500.0,3.7,2791.58358,195322.220235,1.43
064400,LG씨엔에스,KOSPI,83200.0,3.74,2708.8964005,80609.108736,3.36
047040,대우건설,KOSPI,28550.0,0.71,2692.60892325,117314.130649,2.3
069540,빛과전자,KOSDAQ,6610.0,29.86,2547.20877625,6471.2917279,39.36
488080,TIGER 반도체TOP10레버리지,ETF,81150.0,-1.58,2507.90046212,22235.1,11.28
439960,코스모로보틱스,KOSDAQ,46550.0,-14.43,2489.901721,14946.695743,16.66
001820,삼화콘덴서,KOSPI,102000.0,29.94,2472.974139,10602.9,23.32
247540,에코프로비엠,KOSDAQ,216000.0,10.77,2455.4751625,211313.73744,1.16
079550,LIG디펜스앤에어로스페이스,KOSPI,925000.0,7.31,2440.033905,203500.0,1.2
042700,한미반도체,KOSPI,320500.0,-3.61,2303.197795,305475.601,0.75
034730,SK,KOSPI,642000.0,11.46,2299.93181,465467.35326,0.49
011070,LG이노텍,KOSPI,864000.0,3.1,2247.17411,204483.80448,1.1
017670,SK텔레콤,KOSPI,102800.0,0.0,2088.6517395,220804.174484,0.95
336260,두산퓨얼셀,KOSPI,98200.0,17.6,2085.293432,64314.838932,3.24
046970,우리로,KOSDAQ,9600.0,10.85,2078.622347,4207.199904,49.41
329180,HD현대중공업,KOSPI,680000.0,1.19,2024.13383,713736.33,0.28
028260,삼성물산,KOSPI,420500.0,0.48,1937.3984475,681914.678105,0.28
356680,엑스게이트,KOSDAQ,21200.0,24.19,1931.9870151,6051.220304,31.93
034220,LG디스플레이,KOSPI,15150.0,2.78,1857.2766476,75750.0,2.45
001440,대한전선,KOSPI,54800.0,-2.14,1841.618599,107403.942608,1.71
042660,한화오션,KOSPI,122200.0,7.57,1784.7497305,374437.167468,0.48
006260,LS,KOSPI,544000.0,4.41,1772.916545,169728.0,1.04
105560,KB금융,KOSPI,160000.0,2.7,1769.73618144,596560.728,0.3
0183J0,TIGER 미국우주테크,ETF,14655.0,4.42,1761.22166099,13563.2025,12.99
373220,LG에너지솔루션,KOSPI,398500.0,-0.62,1757.1829575,932490.0,0.19
178320,서진시스템,KOSDAQ,77300.0,7.06,1685.078402,49145.598431,3.43
068270,셀트리온,KOSPI,198700.0,4.8,1679.971163,441357.091567,0.38
005490,POSCO홀딩스,KOSPI,447500.0,0.9,1660.36535,354605.833325,0.47
251340,KODEX 코스닥150선물인버스,ETF,1980.0,-6.6,1651.58237704,1904.76,86.71
017900,광전자,KOSPI,13130.0,-4.16,1642.27311795,7608.0160819,21.59
133690,TIGER 미국나스닥100,ETF,197990.0,1.4,1622.6788129,106083.042,1.53
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,ETF,13655.0,-0.58,1593.60068781,26299.53,6.06
498400,KODEX 200타겟위클리커버드콜,ETF,24270.0,-0.14,1590.16855562,58951.83,2.7
298040,효성중공업,KOSPI,4007000.0,1.99,1583.94356,373634.63836,0.42
379810,KODEX 미국나스닥100,ETF,29645.0,1.42,1544.8410017,81597.8625,1.89
032830,삼성생명,KOSPI,364500.0,2.68,1536.592715,729000.0,0.21
035420,NAVER,KOSPI,203000.0,1.75,1527.4152075,318453.76528,0.48
000270,기아,KOSPI,164800.0,-1.85,1485.0914645,643400.620704,0.23
010060,OCI홀딩스,KOSPI,314500.0,12.12,1471.762965,58717.87964,2.51
466920,SOL 조선TOP3플러스,ETF,38470.0,3.65,1448.59638169,19619.7,7.38
267260,HD현대일렉트릭,KOSPI,1173000.0,3.26,1448.53019,422832.89355,0.34
024840,KBI메탈,KOSDAQ,7640.0,10.89,1379.9043889,3073.469242,44.9
139260,TIGER 200 IT,ETF,154650.0,1.74,1343.89393996,21310.77,6.31
462330,KODEX 2차전지산업레버리지,ETF,2190.0,8.15,1314.61802709,8751.24,15.02
006800,미래에셋증권,KOSPI,67500.0,1.5,1303.557156,377707.644,0.35
456010,아이씨티케이,KOSDAQ,26550.0,10.86,1303.09167475,3719.892357,35.03
0117V0,TIGER 코리아AI전력기기TOP3플러스,ETF,28165.0,2.16,1300.22540177,13941.675,9.33
243880,TIGER 200IT레버리지,ETF,574410.0,1.97,1289.42073995,7323.7275,17.61
048410,현대바이오,KOSDAQ,13450.0,19.98,1282.4493461,12979.999434,9.88
078600,대주전자재료,KOSDAQ,156800.0,18.34,1256.432136,24425.469824,5.14
0167Z0,KODEX 미국우주항공,ETF,13275.0,3.55,1248.78468601,6265.8,19.93
091230,TIGER 반도체,ETF,163160.0,1.07,1244.70611076,17849.704,6.97
018260,삼성에스디에스,KOSPI,194700.0,5.07,1240.1532345,150654.5766,0.82
051910,LG화학,KOSPI,351000.0,0.86,1231.4373775,247779.12393,0.5
125020,티씨머티리얼즈,KOSDAQ,9190.0,-4.57,1221.2763657,3220.042745,37.93
016360,삼성증권,KOSPI,129900.0,6.13,1203.90307,116000.7,1.04
148020,RISE 200,ETF,124320.0,0.36,1202.29534322,45563.28,2.64
141080,리가켐바이오,KOSDAQ,157400.0,12.83,1171.19803,58268.563932,2.01
305720,KODEX 2차전지산업,ETF,19675.0,4.02,1164.99391506,23196.825,5.02
007660,이수페타시스,KOSPI,126100.0,-1.33,1164.105241,92569.025159,1.26
010140,삼성중공업,KOSPI,29500.0,2.97,1162.6829095,259600.0,0.45
003550,LG,KOSPI,118500.0,-3.66,1144.1147335,182752.578225,0.63
353200,대덕전자,KOSPI,151300.0,3.35,1103.493501,74767.807525,1.48
066970,엘앤에프,KOSPI,158900.0,2.45,1098.9701565,64283.768843,1.71
064350,현대로템,KOSPI,206000.0,5.37,1087.140856,224833.12358,0.48
278470,에이피알,KOSPI,391000.0,-2.13,1081.67465,146383.18605,0.74
000810,삼성화재,KOSPI,569000.0,0.53,1072.032495,254044.12137,0.42
232080,TIGER 코스닥150,ETF,20180.0,6.63,1048.7405333,17572.744,5.97
222800,심텍,KOSDAQ,131800.0,5.02,1044.954145,49377.461058,2.12
055550,신한지주,KOSPI,98200.0,3.59,1041.6655265,466110.582502,0.22
098460,고영,KOSDAQ,39400.0,5.07,1040.20728325,27049.97347,3.85
009420,한올바이오파마,KOSPI,57000.0,11.98,1037.843197,29777.16366,3.49
472150,TIGER 배당커버드콜액티브,ETF,24655.0,0.47,1031.25154148,17364.5165,5.94
009830,한화솔루션,KOSPI,42700.0,5.17,1011.0532685,73398.112872,1.38
454910,두산로보틱스,KOSPI,106600.0,-0.93,995.421848,69098.09868,1.44
011790,SKC,KOSPI,142100.0,4.03,981.9545475,53810.851458,1.82
0148J0,TIGER 코리아휴머노이드로봇산업,ETF,13320.0,-0.3,968.28053164,7852.14,12.33
043260,성호전자,KOSDAQ,41250.0,5.5,949.07814375,29255.6644875,3.24
292150,TIGER 코리아TOP10,ETF,42910.0,-0.13,930.23313738,28277.69,3.29
207940,삼성바이오로직스,KOSPI,1415000.0,1.43,925.80376,655016.95665,0.14
403870,HPSP,KOSDAQ,54700.0,2.43,924.4943385,45018.1,2.05
000720,현대건설,KOSPI,150300.0,2.18,918.5714235,167367.714795,0.55
322000,HD현대에너지솔루션,KOSPI,203000.0,8.91,909.5515035,22736.0,4.0
488770,KODEX 머니마켓액티브,ETF,104430.0,0.02,895.0281498,80784.9594,1.11
062040,산일전기,KOSPI,282500.0,2.36,886.96669,86489.77625,1.03
028050,삼성E&A,KOSPI,53400.0,4.09,883.958326,104664.0,0.84
469150,ACE AI반도체TOP3+,ETF,73345.0,0.05,877.47173153,13385.4625,6.56
100790,미래에셋벤처투자,KOSDAQ,56000.0,-0.53,875.1772895,29749.79504,2.94
018880,한온시스템,KOSPI,5050.0,4.45,861.99841872,51826.258876,1.66
203650,드림시큐리티,KOSDAQ,3550.0,12.88,859.98017539,3588.95486,23.96
067310,하나마이크론,KOSDAQ,51700.0,-5.14,838.8317545,34362.004842,2.44
000150,두산,KOSPI,1593000.0,-0.44,836.56359,257967.79155,0.32
006340,대원전선,KOSPI,14610.0,-4.01,833.1542771,11456.3461776,7.27
027360,아주IB투자,KOSDAQ,15780.0,-1.5,827.06489385,19116.7450668,4.33
277810,레인보우로보틱스,KOSDAQ,754000.0,1.48,823.968965,146274.92932,0.56
047810,한국항공우주,KOSPI,168400.0,2.37,823.7074185,164148.080188,0.5
298380,에이비엘바이오,KOSDAQ,120200.0,9.37,823.5539645,67296.930526,1.22
0080G0,KODEX 방산TOP10,ETF,13770.0,4.48,813.41278532,5604.39,14.51
086790,하나금융지주,KOSPI,122100.0,2.26,806.1491635,335003.020308,0.24
126730,코칩,KOSDAQ,22200.0,2.3,799.670156,1946.967972,41.07
001740,SK네트웍스,KOSPI,8400.0,2.82,795.77942245,16849.886676,4.72
367760,RISE 네트워크인프라,ETF,67560.0,4.08,790.35739017,6553.32,12.06
062970,한국첨단소재,KOSDAQ,3160.0,21.54,783.56516981,1804.0002024,43.43
310970,TIGER MSCI Korea TR,ETF,54545.0,-0.27,781.53666485,58963.145,1.33
272580,TIGER 단기채권액티브,ETF,56690.0,0.01,779.65521662,6813.0042,11.44
032820,우리기술,KOSDAQ,16800.0,0.6,773.9191185,28829.671248,2.68
494670,TIGER 조선TOP10,ETF,30175.0,3.34,773.01879389,7770.0625,9.95
102970,KODEX 증권,ETF,27945.0,1.8,760.44179534,10996.3575,6.92
274090,켄코아에어로스페이스,KOSDAQ,28500.0,11.55,759.9588755,3912.92973,19.42
307950,현대오토에버,KOSPI,631000.0,0.32,754.566795,173045.32642,0.44
288180,케이피항공산업,KOSDAQ,26300.0,-3.66,750.52930475,1944.427906,38.6
425040,티이엠씨,KOSDAQ,27850.0,7.32,750.33241675,5952.848937,12.6
0177N0,KODEX 삼성전자SK하이닉스채권혼합50,ETF,14445.0,-0.58,750.07363377,8768.115,8.55
138540,TIGER 현대차그룹플러스,ETF,70370.0,-0.41,741.85633203,10372.538,7.15
226950,올릭스,KOSDAQ,161800.0,10.67,738.4573535,32846.343294,2.25
009540,HD한국조선해양,KOSPI,421000.0,1.45,734.5917575,297954.81836,0.25
000990,DB하이텍,KOSPI,181100.0,0.06,729.090683,78786.808868,0.93
445290,KODEX 로봇액티브,ETF,40650.0,-0.26,728.8615427,14044.575,5.19
090460,비에이치,KOSPI,39450.0,17.06,721.34849475,13299.201741,5.42
077970,STX엔진,KOSPI,49850.0,10.04,714.88346325,20013.8094055,3.57
003230,삼양식품,KOSPI,1315000.0,-0.3,710.262255,99059.14725,0.72
003670,포스코퓨처엠,KOSPI,243000.0,4.74,707.7947625,216139.3146,0.33
0173Y0,KODEX 미국AI광통신네트워크,ETF,15345.0,6.82,705.05924527,5800.41,12.16
086280,현대글로비스,KOSPI,236500.0,1.28,702.362995,177375.0,0.4
0023A0,SOL 미국양자컴퓨팅TOP10,ETF,36460.0,16.06,697.03360154,5596.61,12.45
131970,두산테스나,KOSDAQ,171600.0,0.65,696.9619495,33165.540408,2.1
381180,TIGER 미국필라델피아반도체나스닥,ETF,47770.0,2.27,695.3181957,58494.365,1.19
005950,이수화학,KOSPI,16240.0,2.46,689.9404418,4270.1730456,16.16
015760,한국전력,KOSPI,39700.0,0.76,685.06377125,254859.738569,0.27
115500,케이씨에스,KOSDAQ,15850.0,15.61,666.57613815,1902.0,35.05
272210,한화시스템,KOSPI,109400.0,5.39,664.811109,206677.811566,0.32
364980,TIGER 2차전지TOP10,ETF,12930.0,3.03,662.72099589,8281.665,8.0
039490,키움증권,KOSPI,407000.0,-0.73,662.2551825,106749.24612,0.62
095610,테스,KOSDAQ,129000.0,7.41,659.251874,24974.4,2.64
481050,KODEX CD1년금리플러스액티브(합성),ETF,1023560.0,0.01,658.89476542,29169.41288,2.26
307180,아이엘,KOSDAQ,9550.0,11.7,657.0371558,3315.1366715,19.82
462010,TIGER 2차전지소재Fn,ETF,7415.0,5.93,648.07790681,8152.7925,7.95
462900,KoAct 바이오헬스케어액티브,ETF,19070.0,8.57,645.62382883,5301.46,12.18
058470,리노공업,KOSDAQ,106500.0,2.4,643.783878,81165.62025,0.79
123320,TIGER 레버리지,ETF,171150.0,0.72,633.29685634,4792.2,13.22
128940,한미약품,KOSPI,454000.0,4.01,609.416415,58161.89914,1.05
476830,알지노믹스,KOSDAQ,145500.0,11.92,595.4576965,20273.74011,2.94
035720,카카오,KOSPI,41850.0,0.12,594.634719,184847.521959,0.32
0091P0,TIGER 코리아원자력,ETF,22600.0,2.12,593.73237382,9153.0,6.49
032500,케이엠더블유,KOSDAQ,36400.0,14.11,590.95462275,15344.3745,3.85
000250,삼천당제약,KOSDAQ,372000.0,4.79,588.33294,87261.79584,0.67
240810,원익IPS,KOSDAQ,121700.0,-2.87,583.613341,59735.107517,0.98
096770,SK이노베이션,KOSPI,123700.0,4.12,582.375948,209118.298756,0.28
0190C0,RISE 현대차고정피지컬AI,ETF,12140.0,-0.12,580.74884522,2852.9,20.36
005387,현대차2우B,KOSPI,263000.0,-1.13,565.4546325,91955.1359,0.61
049080,기가레인,KOSDAQ,1458.0,7.28,562.81408881,1237.59919926,45.48
278530,KODEX 200TR,ETF,44570.0,0.26,559.94549699,85373.835,0.66
091180,KODEX 자동차,ETF,38065.0,-0.35,559.89308004,6071.3675,9.22
0177R0,TIGER 반도체TOP10커버드콜액티브,ETF,13960.0,0.72,559.4189607,6351.8,8.81
218410,RFHIC,KOSDAQ,104000.0,4.94,557.6389085,27615.57968,2.02
058610,에스피지,KOSDAQ,128500.0,2.07,556.1213845,28497.9076,1.95
064290,인텍플러스,KOSDAQ,35850.0,26.68,552.52111575,4611.730377,11.98
450080,에코프로머티,KOSPI,68500.0,6.04,550.7745595,48433.340795,1.14
267270,HD건설기계,KOSPI,166000.0,4.21,549.6958365,79550.34902,0.69
950160,코오롱티슈진,KOSDAQ,106700.0,3.59,546.742487,90413.36535,0.6
003490,대한항공,KOSPI,26800.0,1.32,538.1135115,98683.137148,0.55
032580,피델릭스,KOSDAQ,8460.0,29.95,536.7398644,2802.9726144,19.15
039030,이오테크닉스,KOSDAQ,573000.0,4.37,530.962945,70591.0215,0.75
