code,name,market,close,chg,amount_eok,cap_eok,turnover_pct
005930,삼성전자,KOSPI,239500.0,4.13,55379.4454549,14001837.26616,0.4
000660,SK하이닉스,KOSPI,1425000.0,0.35,54052.8643566,10409516.20125,0.52
122630,KODEX 레버리지,ETF,92580.0,1.99,15463.49149807,53418.66,28.95
069500,KODEX 200,ETF,99265.0,1.02,13914.50049502,230145.9025,6.05
233740,KODEX 코스닥150레버리지,ETF,7750.0,0.0,12926.09456986,40602.25,31.84
114800,KODEX 인버스,ETF,1126.0,-0.97,11010.55767619,7704.092,142.92
009150,삼성전기,KOSPI,1262000.0,-0.94,9046.57118,942634.44352,0.96
102110,TIGER 200,ETF,99395.0,1.02,8575.69433382,94872.5275,9.04
252670,KODEX 200선물인버스2X,ETF,94.0,-2.08,7843.9195421,7393.852,106.09
229200,KODEX 코스닥150,ETF,14780.0,0.0,7752.01531686,53082.37,14.6
036930,주성엔지니어링,KOSDAQ,162400.0,12.15,5214.7026055,75485.340504,6.91
360750,TIGER 미국S&P500,ETF,27215.0,-0.22,4720.27562848,206058.3725,2.29
402340,SK스퀘어,KOSPI,945000.0,-0.42,4637.6008414,1247006.7477,0.37
005935,삼성전자우,KOSPI,180200.0,4.77,4444.74289284,1445872.907806,0.31
459580,KODEX CD금리액티브(합성),ETF,1074445.0,0.01,4431.70952618,66367.393205,6.68
133690,TIGER 미국나스닥100,ETF,185825.0,-0.63,3789.05922085,115397.325,3.28
009830,한화솔루션,KOSPI,36350.0,3.12,3338.26609975,81748.436836,4.08
396500,TIGER 반도체TOP10,ETF,31800.0,2.32,3312.63226379,84540.3,3.92
494310,KODEX 반도체레버리지,ETF,63700.0,4.83,3293.99989916,8535.8,38.59
080220,제주반도체,KOSDAQ,90400.0,3.08,2843.875281,31136.321032,9.13
379810,KODEX 미국나스닥100,ETF,27790.0,-0.61,2836.1624097,93096.5,3.05
0167A0,SOL AI반도체TOP2플러스,ETF,15715.0,1.0,2723.45764932,51081.6075,5.33
379800,KODEX 미국S&P500,ETF,24740.0,-0.24,2701.97944972,101273.19,2.67
006340,대원전선,KOSPI,14520.0,-2.88,2673.65418065,11385.7732032,23.48
0193T0,KODEX SK하이닉스단일종목레버리지,ETF,7435.0,0.68,2589.49095735,19645.12875,13.18
196170,알테오젠,KOSDAQ,327500.0,-5.89,2468.54173,175495.273325,1.41
251340,KODEX 코스닥150선물인버스,ETF,2305.0,-0.22,2369.54832,1180.16,200.78
091160,KODEX 반도체,ETF,114160.0,2.29,2208.0612405,51029.52,4.33
010170,대한광통신,KOSDAQ,13450.0,-4.2,2069.48758575,20912.82127,9.9
001820,삼화콘덴서,KOSPI,84500.0,4.06,2037.5077665,8783.775,23.2
058610,에스피지,KOSDAQ,114000.0,6.15,2035.540814,25282.1904,8.05
