code,name,market,close,chg,amount_eok,cap_eok,turnover_pct
005930,삼성전자,KOSPI,181200.0,1.46,62579.51155967,10726383.914664,0.58
000660,SK하이닉스,KOSPI,880000.0,-0.9,31425.74568416,6406420.812,0.49
122630,KODEX 레버리지,ETF,84615.0,-0.22,17983.91477053,55380.5175,32.47
034020,두산에너빌리티,KOSPI,96700.0,1.26,17048.218684,619422.628182,2.75
069500,KODEX 200,ETF,81860.0,-0.14,14868.33143906,160691.18,9.25
006800,미래에셋증권,KOSPI,61600.0,15.36,13656.9321435,349324.812144,3.91
252670,KODEX 200선물인버스2X,ETF,320.0,0.0,10352.76664363,12767.36,81.09
005935,삼성전자우,KOSPI,127600.0,4.5,8392.94440823,1041183.671264,0.81
233740,KODEX 코스닥150레버리지,ETF,16660.0,-4.31,7639.3716319,43365.98,17.62
229200,KODEX 코스닥150,ETF,18955.0,-2.02,6372.02057054,66750.0325,9.55
005380,현대차,KOSPI,499000.0,-1.38,5748.359915,1021741.25234,0.56
396500,TIGER 반도체TOP10,ETF,29320.0,-0.44,4675.89347831,59534.26,7.85
003530,한화투자증권,KOSPI,7360.0,13.23,4565.57471175,15790.71624,28.91
114800,KODEX 인버스,ETF,1778.0,0.06,4478.14950479,8859.774,50.54
130660,한전산업,KOSPI,21400.0,6.2,4378.52327555,6976.4,62.76
032820,우리기술,KOSDAQ,12340.0,-9.4,4320.70359315,20579.8565636,20.99
047810,한국항공우주,KOSPI,176700.0,6.77,4286.172222,172238.514069,2.49
475150,SK이터닉스,KOSPI,28650.0,23.76,4258.4922255,9670.533033,44.04
459580,KODEX CD금리액티브(합성),ETF,1074950.0,0.01,3896.09970197,80806.1414,4.82
080220,제주반도체,KOSDAQ,45750.0,2.58,3838.439153,15757.5960975,24.36
018880,한온시스템,KOSPI,4460.0,1.59,3587.86764749,45771.3098192,7.84
017670,SK텔레콤,KOSPI,86500.0,10.9,3547.0192555,185793.395845,1.91
360750,TIGER 미국S&P500,ETF,24435.0,-1.87,3511.3320887,143103.5775,2.45
001510,SK증권,KOSPI,1215.0,29.95,3461.66919611,5741.97057765,60.29
102110,TIGER 200,ETF,81835.0,-0.13,3429.64071995,65795.34,5.21
091160,KODEX 반도체,ETF,88745.0,-0.73,3400.71253783,33190.63,10.25
379800,KODEX 미국S&P500,ETF,22325.0,-1.74,3387.6202837,79030.5,4.29
102970,KODEX 증권,ETF,26615.0,8.21,3304.74834635,7864.7325,42.02
055550,신한지주,KOSPI,102500.0,-3.3,3135.967689,497632.30735,0.63
105560,KB금융,KOSPI,167900.0,-0.36,2974.95498115,626015.913945,0.48
004310,현대약품,KOSPI,14340.0,9.3,2937.81427565,4588.8,64.02
347700,스피어,KOSDAQ,44600.0,15.84,2666.3487825,21045.189704,12.67
066570,LG전자,KOSPI,117200.0,-3.46,2657.246281,190902.845564,1.39
012450,한화에어로스페이스,KOSPI,1105000.0,-2.3,2634.491005,569775.58105,0.46
402340,SK스퀘어,KOSPI,558000.0,-2.11,2609.254715,737046.1017,0.35
352820,하이브,KOSPI,390000.0,2.5,2562.59483,167853.9915,1.53
038500,삼표시멘트,KOSDAQ,14510.0,3.94,2473.3189713,15658.6560006,15.8
086520,에코프로,KOSDAQ,150400.0,-3.28,2373.731296,204207.332608,1.16
100790,미래에셋벤처투자,KOSDAQ,23600.0,5.36,2320.08929825,12537.413624,18.51
009830,한화솔루션,KOSPI,45900.0,-3.47,2249.461544,78898.674024,2.85
042700,한미반도체,KOSPI,202500.0,-3.34,2226.6051725,193007.205,1.15
494310,KODEX 반도체레버리지,ETF,57730.0,-1.28,2103.73462505,9496.585,22.15
035420,NAVER,KOSPI,252500.0,-1.17,2071.46109,396052.91095,0.52
088350,한화생명,KOSPI,4830.0,7.45,2016.06222535,41949.999,4.81
006400,삼성SDI,KOSPI,374500.0,-2.85,1947.9338225,301792.80985,0.65
187660,현대ADM,KOSDAQ,7380.0,29.93,1938.4704948,4093.4094714,47.36
316140,우리금융지주,KOSPI,38950.0,-0.51,1894.12308025,285922.72664,0.66
007660,이수페타시스,KOSPI,101600.0,-6.1,1887.9122465,74583.766504,2.53
005490,POSCO홀딩스,KOSPI,375500.0,-1.96,1881.27768,303903.23476,0.62
035720,카카오,KOSPI,57400.0,-2.38,1824.106319,254055.654006,0.72
028260,삼성물산,KOSPI,318000.0,-4.79,1822.360245,540525.40992,0.34
144600,KODEX 은선물(H),ETF,12735.0,-8.61,1795.19427056,15103.71,11.89
000720,현대건설,KOSPI,114300.0,-0.95,1782.6908495,127279.639395,1.4
148020,RISE 200,ETF,82550.0,-0.1,1697.25746912,28851.225,5.88
086790,하나금융지주,KOSPI,127600.0,-1.85,1647.379476,355143.738664,0.46
247540,에코프로비엠,KOSDAQ,196100.0,-5.27,1619.520977,191788.435584,0.84
068270,셀트리온,KOSPI,238000.0,-0.21,1602.129035,549894.86118,0.29
000270,기아,KOSPI,164100.0,-1.32,1601.868259,640667.729718,0.25
498400,KODEX 200타겟위클리커버드콜,ETF,17380.0,0.17,1570.5098571,31162.34,5.04
488080,TIGER 반도체TOP10레버리지,ETF,35440.0,-1.56,1536.84998879,7903.12,19.45
329180,HD현대중공업,KOSPI,543000.0,0.74,1530.685955,569939.45175,0.27
047040,대우건설,KOSPI,7300.0,-5.19,1465.9546695,30340.452574,4.83
000810,삼성화재,KOSPI,559000.0,-3.79,1457.16567268,257202.35645,0.57
133690,TIGER 미국나스닥100,ETF,157705.0,-2.17,1391.23009421,76802.335,1.81
042660,한화오션,KOSPI,129800.0,-1.52,1388.000456,397724.585412,0.35
0013V0,삼진식품,KOSDAQ,11210.0,1.17,1383.56967705,1111.8813376,124.44
071050,한국금융지주,KOSPI,257500.0,4.46,1355.8622825,143494.4294,0.94
000150,두산,KOSPI,942000.0,-3.19,1352.38024,152545.9257,0.89
034730,SK,KOSPI,349500.0,2.04,1317.957815,253396.946985,0.52
157500,TIGER 증권,ETF,18400.0,8.78,1315.02306443,3098.56,42.44
016360,삼성증권,KOSPI,101000.0,4.02,1284.114498,90193.0,1.42
001440,대한전선,KOSPI,31550.0,-0.94,1280.27431925,58824.12315,2.18
373220,LG에너지솔루션,KOSPI,395000.0,-3.66,1278.1441625,924300.0,0.14
292150,TIGER 코리아TOP10,ETF,29455.0,0.34,1271.38489371,20427.0425,6.22
051910,LG화학,KOSPI,324500.0,-3.57,1270.0470075,229072.153035,0.55
046120,오르비텍,KOSDAQ,6210.0,15.0,1269.58031095,1720.3987764,73.8
065170,비엘팜텍,KOSDAQ,5430.0,29.9,1268.40881402,1448.8882575,87.54
395270,HANARO Fn K-반도체,ETF,29705.0,-0.6,1256.07357613,15090.14,8.32
015760,한국전력,KOSPI,59800.0,-0.5,1209.899499,383894.518046,0.32
240810,원익IPS,KOSDAQ,109200.0,-18.14,1201.3992775,53599.619892,2.24
012330,현대모비스,KOSPI,435000.0,-2.47,1200.03864584,394686.73605,0.3
379810,KODEX 미국나스닥100,ETF,23620.0,-2.11,1188.68079691,52152.96,2.28
161510,PLUS 고배당주,ETF,27790.0,1.2,1175.77548131,23593.71,4.98
221800,유투바이오,KOSDAQ,14670.0,29.94,1171.2864106,2337.2939358,50.11
278470,에이피알,KOSPI,272000.0,-3.55,1169.9065925,101811.3816,1.15
039490,키움증권,KOSPI,469500.0,3.76,1160.7100825,127291.530165,0.91
241520,DSC인베스트먼트,KOSDAQ,12150.0,4.02,1159.4188455,3280.5,35.34
009150,삼성전기,KOSPI,309500.0,-3.13,1156.041585,231176.98912,0.5
011700,한신기계,KOSPI,4905.0,5.94,1152.40630868,1591.48370655,72.41
272210,한화시스템,KOSPI,103400.0,-2.27,1148.3840015,195342.648226,0.59
232080,TIGER 코스닥150,ETF,19330.0,-1.93,1125.5467546,19762.992,5.7
478340,나라스페이스테크놀로지,KOSDAQ,55600.0,2.96,1119.4729475,6412.676596,17.46
047770,코데즈컴바인,KOSDAQ,4395.0,10.01,1115.10364419,1663.1823579,67.05
010140,삼성중공업,KOSPI,27700.0,-1.6,1114.433807,243760.0,0.46
411060,ACE KRX금현물,ETF,32420.0,-1.91,1108.8034236,49148.72,2.26
006910,보성파워텍,KOSDAQ,9180.0,-2.34,1084.90764905,4510.1178432,24.05
