code,name,market,close,chg,amount_eok,cap_eok,turnover_pct
005930,삼성전자,KOSPI,128500.0,7.17,38059.40517494,7606734.72977,0.5
000660,SK하이닉스,KOSPI,677000.0,3.99,27789.83677,4928576.01105,0.56
459580,KODEX CD금리액티브(합성),ETF,1073875.0,0.01,9782.16438878,87097.70575,11.23
122630,KODEX 레버리지,ETF,50645.0,5.99,9517.1854909,36717.625,25.92
068270,셀트리온,KOSPI,202500.0,11.88,6839.1025085,467695.962225,1.46
069500,KODEX 200,ETF,62660.0,2.9,6660.69744401,120213.21,5.54
080220,제주반도체,KOSDAQ,30650.0,16.32,5184.760114,10556.7283145,49.11
252670,KODEX 200선물인버스2X,ETF,579.0,-5.85,4973.44027089,14109.651,35.25
042700,한미반도체,KOSPI,144500.0,13.42,4698.0198325,137726.129,3.41
486990,노타,KOSDAQ,56400.0,21.81,4026.825031,12026.75292,33.48
319400,현대무벡스,KOSDAQ,23700.0,26.13,3968.1336586,26396.121243,15.03
005935,삼성전자우,KOSPI,94400.0,5.83,3556.992228,770280.082816,0.46
035420,NAVER,KOSPI,247000.0,1.86,3338.6685675,387426.01586,0.86
090710,휴림로봇,KOSDAQ,8190.0,9.93,3221.01331805,9783.5444343,32.92
005380,현대차,KOSPI,298500.0,0.67,2845.8957175,611201.93151,0.47
012200,계양전기,KOSPI,7850.0,18.4,2780.05414245,2136.9920765,130.09
0126Z0,삼성에피스홀딩스,KOSPI,715000.0,-3.77,2776.50336,177913.80035,1.56
396500,TIGER 반도체TOP10,ETF,21645.0,7.63,2686.43874345,30411.225,8.83
204320,HL만도,KOSPI,65400.0,11.41,2572.2878815,30709.95648,8.38
098460,고영,KOSDAQ,27150.0,18.56,2532.12207225,18639.7659825,13.58
360750,TIGER 미국S&P500,ETF,24685.0,-0.26,2388.52382987,127522.71,1.87
352820,하이브,KOSPI,346000.0,4.85,2354.94537,147286.56366,1.6
030530,원익홀딩스,KOSDAQ,47650.0,-2.16,2306.103479,36803.8979465,6.27
233740,KODEX 코스닥150레버리지,ETF,12000.0,4.76,2229.48566384,19308.0,11.55
034020,두산에너빌리티,KOSPI,75200.0,-0.13,2112.2793965,481701.981792,0.44
240810,원익IPS,KOSDAQ,80000.0,17.82,2007.4287335,39267.1208,5.11
091160,KODEX 반도체,ETF,65480.0,6.82,1986.81502752,18203.44,10.91
298380,에이비엘바이오,KOSDAQ,195500.0,-2.25,1956.305401,107769.697575,1.82
490470,세미파이브,KOSDAQ,29800.0,12.45,1924.51027725,10045.718868,19.16
009150,삼성전기,KOSPI,270000.0,5.88,1882.384145,201672.9792,0.93
035720,카카오,KOSPI,62100.0,3.33,1795.1551175,274745.179179,0.65
042660,한화오션,KOSPI,114700.0,0.97,1716.245303,351456.162918,0.49
196170,알테오젠,KOSDAQ,457000.0,1.67,1712.37958,244521.45116,0.7
102110,TIGER 200,ETF,62715.0,2.93,1709.43031338,46534.53,3.67
494310,KODEX 반도체레버리지,ETF,33725.0,13.61,1635.47642702,5581.4875,29.3
006400,삼성SDI,KOSPI,262500.0,-2.6,1618.95753,211537.01625,0.77
402340,SK스퀘어,KOSPI,392000.0,6.52,1615.6800725,517781.4908,0.31
395270,HANARO Fn K-반도체,ETF,22385.0,6.7,1603.97371347,9513.625,16.86
086520,에코프로,KOSDAQ,88300.0,-2.75,1598.7848365,119890.342216,1.33
274090,켄코아에어로스페이스,KOSDAQ,18710.0,5.23,1571.1409136,2451.898725,64.08
307950,현대오토에버,KOSPI,331500.0,-0.15,1507.4424675,90910.50033,1.66
347700,스피어,KOSDAQ,19090.0,29.95,1449.2402486,8902.9624474,16.28
058610,에스피지,KOSDAQ,82700.0,1.72,1384.585607,18340.67672,7.55
012450,한화에어로스페이스,KOSPI,946000.0,0.53,1379.42431,487789.77346,0.28
379800,KODEX 미국S&P500,ETF,22605.0,-0.11,1336.90924549,71036.2125,1.88
006800,미래에셋증권,KOSPI,24650.0,5.57,1326.08414575,139786.633431,0.95
114800,KODEX 인버스,ETF,2360.0,-2.88,1308.84709167,8366.2,15.64
229200,KODEX 코스닥150,ETF,15820.0,2.53,1306.62339729,16365.79,7.98
005490,POSCO홀딩스,KOSPI,297500.0,-2.46,1266.224405,240775.5322,0.53
123690,한국화장품,KOSPI,12200.0,21.51,1233.00196745,1960.296,62.9
