code,name,market,close,chg,amount_eok,cap_eok,turnover_pct
000660,SK하이닉스,KOSPI,1759000.0,-8.34,88861.16591,12536434.60035,0.71
005930,삼성전자,KOSPI,249500.0,-7.59,66283.925255,14586465.12696,0.45
0197X0,SOL SK하이닉스선물단일종목인버스2X,ETF,11960.0,16.06,36386.9111131,2122.9,1714.02
0193T0,KODEX SK하이닉스단일종목레버리지,ETF,13015.0,-16.25,31818.0806223,33617.745,94.65
069500,KODEX 200,ETF,106365.0,-6.06,18261.6388687,240225.3525,7.6
475150,SK이터닉스,KOSPI,80900.0,0.37,17155.740406,27560.206236,62.25
122630,KODEX 레버리지,ETF,113390.0,-12.07,15305.39148928,56128.05,27.27
0195S0,TIGER SK하이닉스단일종목레버리지,ETF,10990.0,-16.17,13868.23390324,19688.585,70.44
360750,TIGER 미국S&P500,ETF,26965.0,-1.15,13595.29305806,197747.8275,6.88
0193W0,KODEX 삼성전자단일종목레버리지,ETF,12430.0,-15.1,10625.54665927,20403.845,52.08
114800,KODEX 인버스,ETF,1125.0,5.93,9908.33295385,8199.0,120.85
402340,SK스퀘어,KOSPI,1109000.0,-9.17,8847.80363067,1463418.50074,0.6
252670,KODEX 200선물인버스2X,ETF,102.0,10.87,7849.15836694,8807.496,89.12
009150,삼성전기,KOSPI,1326000.0,-8.43,7691.86998,990438.40896,0.78
379800,KODEX 미국S&P500,ETF,24585.0,-1.15,7061.18755681,98856.285,7.14
0195R0,TIGER 삼성전자단일종목레버리지,ETF,11380.0,-15.39,6278.41990842,10839.45,57.92
322000,HD현대에너지솔루션,KOSPI,164000.0,-4.37,6128.864463,18368.0,33.37
396500,TIGER 반도체TOP10,ETF,34450.0,-8.62,6080.58542385,89552.775,6.79
005935,삼성전자우,KOSPI,177100.0,-7.33,5443.8570555,1420999.400513,0.38
459580,KODEX CD금리액티브(합성),ETF,1075600.0,0.01,4663.08009038,68059.6656,6.85
233740,KODEX 코스닥150레버리지,ETF,5875.0,-12.83,4456.46953425,26778.25,16.64
0167A0,SOL AI반도체TOP2플러스,ETF,17185.0,-8.37,4150.12541463,55086.5175,7.53
0156T0,에이치엘지노믹스,KOSDAQ,14790.0,-31.21,3998.33491265,1150.9816119,347.38
950160,코오롱티슈진,KOSDAQ,15000.0,-28.74,3997.92031585,12745.524,31.37
017670,SK텔레콤,KOSPI,100000.0,0.5,3993.665515,214790.053,1.86
100090,SK오션플랜트,KOSPI,18350.0,6.32,3872.246973,11464.7366715,33.78
229200,KODEX 코스닥150,ETF,12510.0,-6.64,3715.89971848,40006.98,9.29
005380,현대차,KOSPI,401000.0,-7.18,3586.6887825,821078.64166,0.44
133690,TIGER 미국나스닥100,ETF,184355.0,-1.96,3533.46047054,111387.291,3.17
102110,TIGER 200,ETF,106425.0,-6.08,3327.6892118,98443.125,3.38
010060,OCI홀딩스,KOSPI,250000.0,1.21,3259.2100075,46675.58,6.98
207940,삼성바이오로직스,KOSPI,1518000.0,10.08,2970.92783,702696.63618,0.42
379810,KODEX 미국나스닥100,ETF,27600.0,-1.99,2869.29081478,87988.8,3.26
012450,한화에어로스페이스,KOSPI,979000.0,2.19,2429.075625,504805.69579,0.48
010120,LS ELECTRIC,KOSPI,202000.0,-9.62,2356.0310375,303000.0,0.78
028050,삼성E&A,KOSPI,47600.0,2.04,2355.0291215,93296.0,2.52
395160,KODEX AI반도체TOP2플러스,ETF,38990.0,-8.36,2273.48264401,38249.19,5.94
035420,NAVER,KOSPI,207500.0,-5.68,2178.043195,325659.30215,0.67
066570,LG전자,KOSPI,169200.0,-9.76,2084.852857,275600.807496,0.76
036930,주성엔지니어링,KOSDAQ,141000.0,-13.97,2075.6091635,65538.38061,3.17
0193L0,PLUS 삼성전자선물단일종목인버스2X,ETF,17340.0,15.25,2053.14109613,603.432,340.24
000270,기아,KOSPI,130500.0,-12.88,2052.2228025,509488.96239,0.4
012330,현대모비스,KOSPI,482000.0,-8.02,2018.3345685,437331.05006,0.46
105560,KB금융,KOSPI,171500.0,-2.72,1897.83783,608289.46381,0.31
278530,KODEX 200TR,ETF,38465.0,-5.94,1864.45281158,74256.6825,2.51
096770,SK이노베이션,KOSPI,130100.0,-1.59,1863.4613215,219937.677188,0.85
009830,한화솔루션,KOSPI,30000.0,0.0,1772.60647125,51567.7608,3.44
079550,LIG디펜스앤에어로스페이스,KOSPI,762000.0,3.53,1772.327085,167640.0,1.06
091160,KODEX 반도체,ETF,120755.0,-8.52,1742.29218377,53011.445,3.29
006400,삼성SDI,KOSPI,428000.0,-8.35,1694.2557,344906.0684,0.49
006340,대원전선,KOSPI,13730.0,-3.31,1692.87582905,10766.2993168,15.72
